unweighted_abruptness,weighted_abruptness,branchiness_mean,branchiness_variance,repeteadness_mean,repeteadness_variance,melodic_mean,melodic_variance,pitch_in_piece,pitch_in_rules,pitch_between_rules,label
14,2,3.714285714,3.06122449,2,0.211570248,1.642857143,0.801020408,21,4.857142857,10.75,Rock
3,3,2.5,0.25,2.75,0.555555556,1,0,6,0,3,Rock
11,19,2.842105263,1.606648199,6.9625,3.861130645,2.131578947,1.956371191,24,8.342105263,13.27027027,Rock
8,2,3,1.272727273,7.459090909,4.349110617,2.181818182,1.148760331,21,9.363636364,12.15,Rock
1,2,2.833333333,0.805555556,7.419594595,4.584040471,1.916666667,0.909722222,7,1.083333333,2.454545455,Rock
2,2,3.2,2.093333333,7.606428571,4.567965534,2.066666667,1.062222222,22,5.5,8.774193548,Rock
14,14,2.545454545,0.79338843,8,5.964567474,1.636363636,0.685950413,41,4.318181818,9,Rock
5,5,1.846153846,0.130177515,5,1.820018365,1,0,30,0,3.5,Rock
2,3,2.842105263,1.817174515,7,4.357960458,1.263157895,0.193905817,26,0.842105263,3.333333333,Rock
7,7,2.4,1.04,3,0.748541881,1.2,0.16,10,2,7,Rock
5,5,1.6,0.24,2,0.244897959,1,0,6,0,3,Rock
9,34,4,4.571428571,13,13.41168569,2.166666667,0.853174603,34,10.85714286,17.375,Rock
4,4,3.298245614,2.10403201,6.985365854,3.915639037,2.719298246,2.763311788,22,11.10526316,14.16666667,Rock
5,5,2.727272727,0.743801653,1.75,0.138888889,1.181818182,0.148760331,14,1.545454545,3,Rock
1,1,2,0,2,0.25,1,0,3,0,2,Rock
6,6,3.24137931,1.631391201,8.83125,5.986664433,2.034482759,0.653983353,15,7.137931034,8.551724138,Rock
2,2,1,0,1,0,1,0,2,0,2,Rock
4,4,2.947368421,1.418282548,15.77667984,20.51082732,2.026315789,0.762465374,26,5.131578947,9.58974359,Rock
7,15,3.797468354,3.908348021,9.732142857,7.902571025,2.430379747,1.510975805,34,8.949367089,10.98550725,Rock
5,1,3.513513514,2.84441198,9,6.794887039,1.648648649,0.336011687,17,2.27027027,5.558823529,Rock
13,13,2.727272727,1.925619835,6.971428571,4.551687741,1.954545455,0.497933884,15,6.318181818,8.75,Rock
