7 -29 => -5 2
7 -29 => -18 2
-22 7 -29 => -5 2
-5 -29 => -17 2
-5 -29 => -24 6
-10 -5 -29 => -17 2
9 -18 => -3 2
9 -18 => -15 1
2 -18 => 9 1
-8 -18 => -24 1
-29 -18 => -25 2
-3 -18 => -5 1
-3 -18 => 21 1
-3 -18 => 9 1
-27 => -18 2
-27 => 9 1
-27 => -11 2
-27 -18 => -5 1
-27 -18 => 9 1
7 -18 => 4 2
-5 -18 => 7 1
-17 -18 => 7 2
-17 -18 => -17 1
-22 -18 => 7 1
-18 -25 => 2 2
7 -22 -25 => 0 2
-24 7 -29 => -22 2
-24 7 -29 -22 => -25 2
-24 7 -29 -22 -25 => -5 2
7 -25 => -24 1
7 -25 => -17 1
7 -25 => -10 1
7 -25 => -11 1
4 -25 => -24 1
5 -25 => -24 1
14 -10 => -22 1
7 -10 => 7 1
7 -10 => 0 1
-5 -10 => 7 1
-17 -10 => -5 2
-17 -10 => 9 1
-17 -10 => 5 1
-22 -10 => -22 1
-22 -10 => -19 1
-25 -10 => -5 1
4 -10 => -17 1
5 -10 => -17 1
-15 -10 => -17 1
-12 -10 => -7 1
-8 -10 => -7 1
5 -11 => 16 1
-24 -11 => 7 1
-17 -11 => 14 1
-17 -11 => 5 1
-17 -11 => 7 1
12 -11 => 12 1
-25 -11 => 7 1
-22 -11 => -22 1
-22 -11 => -8 1
-19 -11 => 12 1
-27 -11 => 4 1
-27 -11 => -15 1
7 -11 => 7 1
7 -11 => 16 1
-12 -11 => -5 3
-15 -11 => 5 2
-15 -11 => 7 1
-15 -11 => 4 1
4 -15 => -3 1
4 -15 => 9 2
4 -15 => -11 1
-24 -15 => -17 1
0 -15 => 9 1
9 -15 => 4 2
9 -15 => -11 1
9 -15 => -24 1
-11 -15 => -22 1
-19 -15 => -17 1
-18 -15 => -3 1
-22 -15 => -10 1
-17 -15 => -12 1
7 -15 => -11 1
16 -15 => -11 1
8 -8 => -20 1
23 -8 => -17 1
-21 => 8 1
-21 => -8 1
-21 -8 => 23 1
-11 -8 => -10 1
2 -8 => 0 1
2 -8 => 4 2
0 -8 => -18 1
4 -8 => -3 1
-1 -8 => -16 1
-22 -7 => -3 1
12 -7 => -22 1
12 -7 => 0 1
12 -7 => 3 1
12 -7 => 5 1
-19 -7 => 12 1
-10 -7 => 5 1
-10 -7 => -19 1
4 -7 => 4 2
4 -7 => -22 1
4 -7 => 12 1
4 -7 => -19 1
5 -19 => -11 1
0 -19 => -22 1
-10 -19 => -15 1
-7 -19 => -17 1
-7 -19 => -24 1
-3 -19 => -7 1
11 => 17 1
-22 12 => 2 1
-22 12 => 4 1
7 12 => -11 1
4 12 => 5 1
4 12 => -7 1
2 12 => 0 1
-11 12 => -17 1
-11 12 => 4 1
-5 -3 => -27 1
-24 -3 => 9 1
-18 -3 => -18 2
-7 -3 => 12 1
4 -3 => -27 1
0 -3 => 12 1
-15 -3 => 9 1
-15 -3 => 4 1
5 -3 => -19 1
-8 -3 => -18 1
7 -13 => 7 4
2 -13 => 5 1
4 -13 => -22 1
-24 -13 => 9 1
5 -13 => 5 1
9 -13 => 9 1
9 -13 => -24 1
-15 9 => -27 1
-15 9 => -15 1
-15 9 => -18 1
-3 9 => -15 1
-3 9 => -18 2
0 9 => -15 1
-18 9 => -3 3
-24 9 => -13 2
21 => 9 1
21 9 => 1 1
-27 9 => -15 1
-13 9 => -24 1
-13 9 => -22 1
-10 9 => 29 1
-5 19 => 4 1
2 19 => -19 1
1 => -27 1
