64 128 => 65 0.166666666667
58 61 => 128 1.0
55 => 58 0.315789473684
55 => 51 0.263157894737
55 => 52 0.0789473684211
55 => 61 0.0526315789474
55 => 63 0.0526315789474
55 => 128 0.236842105263
60 => 59 0.02
60 => 58 0.1
60 => 55 0.02
60 => 57 0.16
60 => 56 0.22
60 => 61 0.02
60 => 63 0.04
60 => 65 0.08
60 => 128 0.34
55 52 => 60 0.333333333333
55 52 => 48 0.666666666667
72 => 68 1.0
56 59 => 56 1.0
128 61 => 128 0.25
128 61 => 65 0.5
128 61 => 67 0.25
61 67 => 128 0.666666666667
61 67 => 61 0.333333333333
60 65 128 => 51 0.5
60 65 128 => 67 0.5
63 58 => 128 1.0
67 64 => 58 0.25
67 64 => 67 0.75
55 61 => 55 1.0
51 56 128 56 => 61 1.0
68 65 68 => 128 1.0
54 128 => 53 1.0
128 => 67 0.0508474576271
128 => 58 0.0338983050847
128 => 49 0.0169491525424
128 => 55 0.101694915254
128 => 54 0.00847457627119
128 => 57 0.00847457627119
128 => 56 0.110169491525
128 => 51 0.00847457627119
128 => 53 0.0932203389831
128 => 52 0.0338983050847
128 => 60 0.135593220339
128 => 61 0.0338983050847
128 => 62 0.0847457627119
128 => 63 0.0338983050847
128 => 64 0.0593220338983
128 => 65 0.135593220339
128 => 70 0.0169491525424
128 => 68 0.0338983050847
61 58 => 61 0.5
61 58 => 67 0.5
73 70 => 63 1.0
55 51 => 55 1.0
63 60 => 63 1.0
61 67 128 => 63 1.0
51 48 => 51 1.0
54 => 128 0.333333333333
54 => 57 0.333333333333
54 => 51 0.333333333333
72 68 65 => 68 1.0
61 65 => 128 0.666666666667
61 65 => 61 0.333333333333
55 63 => 58 1.0
57 53 => 49 1.0
61 => 58 0.0909090909091
61 => 55 0.0909090909091
61 => 56 0.0909090909091
61 => 60 0.0909090909091
61 => 63 0.0909090909091
61 => 65 0.272727272727
61 => 67 0.136363636364
61 => 128 0.136363636364
59 62 => 128 1.0
71 65 => 62 1.0
51 55 => 128 1.0
71 => 62 0.5
71 => 65 0.5
49 53 => 128 1.0
128 53 => 128 0.181818181818
128 53 => 57 0.0909090909091
128 53 => 56 0.363636363636
128 53 => 59 0.0909090909091
128 53 => 58 0.272727272727
128 68 => 72 1.0
60 65 => 60 0.5
60 65 => 128 0.5
65 60 => 128 0.2
65 60 => 56 0.4
65 60 => 65 0.4
61 60 => 61 0.5
61 60 => 59 0.5
53 56 => 128 0.2
