11 128 9 => 128 0.666666666667
11 128 9 => -3 0.333333333333
-6 128 -3 => 128 1.0
-9 => 128 0.2
-9 => 0 0.2
-9 => -8 0.6
-7 -3 => 2 0.5
-7 -3 => -1 0.5
-8 -1 -3 => 128 0.4
-8 -1 -3 => 4 0.4
-8 -1 -3 => 6 0.2
11 8 => 9 0.6
11 8 => 11 0.2
11 8 => 2 0.2
0 -1 -3 => -5 0.5
0 -1 -3 => -4 0.25
0 -1 -3 => 4 0.25
2 9 128 => 5 1.0
15 => 11 0.142857142857
15 => 12 0.857142857143
4 2 -1 => 128 0.666666666667
4 2 -1 => 2 0.333333333333
-4 => 128 0.261904761905
-4 => -1 0.047619047619
-4 => -8 0.166666666667
-4 => -3 0.52380952381
128 => 1 0.00931677018634
128 => 0 0.105590062112
128 => 3 0.0434782608696
128 => 2 0.0652173913043
128 => 5 0.0341614906832
128 => 4 0.10248447205
128 => 7 0.0527950310559
128 => 6 0.0186335403727
128 => 9 0.10248447205
128 => 8 0.0124223602484
128 => -11 0.00621118012422
128 => -10 0.00310559006211
128 => -12 0.0155279503106
128 => 11 0.0434782608696
128 => 10 0.0124223602484
128 => 12 0.111801242236
128 => 14 0.0155279503106
128 => 17 0.00310559006211
128 => 16 0.00931677018634
128 => -5 0.0217391304348
128 => -4 0.0403726708075
128 => -6 0.00310559006211
128 => -1 0.0590062111801
128 => -3 0.0962732919255
128 => -9 0.00310559006211
128 => -8 0.00931677018634
1 128 2 128 => 1 1.0
0 7 9 => 7 1.0
8 4 128 => 2 1.0
128 -1 0 => 2 1.0
-5 7 5 => -5 1.0
12 128 9 => 128 1.0
2 4 5 => 2 1.0
-1 128 2 => 1 1.0
18 16 => 14 1.0
-9 128 => -8 1.0
5 2 -1 => 0 1.0
-1 -4 -3 => 128 0.5
-1 -4 -3 => 0 0.25
-1 -4 -3 => 2 0.25
2 -1 => 0 0.333333333333
2 -1 => -5 0.0952380952381
2 -1 => -4 0.142857142857
2 -1 => -7 0.0952380952381
2 -1 => 2 0.142857142857
2 -1 => 4 0.047619047619
2 -1 => 128 0.142857142857
3 128 4 128 => 11 0.125
3 128 4 128 => -4 0.125
3 128 4 128 => 3 0.5
3 128 4 128 => -3 0.125
3 128 4 128 => 6 0.125
16 128 9 => 11 1.0
128 9 7 => 128 1.0
6 8 9 => 16 1.0
-10 128 => -11 0.125
-10 128 => -12 0.625
-10 128 => -3 0.25
15 12 => 15 0.666666666667
15 12 => 7 0.333333333333
-12 => -8 1.0
-4 -3 -1 => -4 1.0
11 7 => 128 0.333333333333
11 7 => 9 0.333333333333
11 7 => 4 0.222222222222
11 7 => 16 0.111111111111
-1 5 => 4 1.0
11 128 => 9 0.157894736842
11 128 => 3 0.105263157895
11 128 => 12 0.631578947368
11 128 => 14 0.105263157895
128 5 4 => 128 0.25
128 5 4 => 0 0.5
128 5 4 => 2 0.25
-4 -1 => 4 1.0
128 12 => 128 0.833333333333
128 12 => 11 0.111111111111
128 12 => 14 0.0555555555556
-1 3 => 128 1.0
11 4 => 12 1.0
10 128 9 128 => 10 1.0
0 -8 -7 => 9 1.0
14 128 => 11 0.333333333333
14 128 => 8 0.333333333333
14 128 => 12 0.333333333333
9 7 128 => 10 0.5
9 7 128 => 5 0.5
5 4 => 9 0.25
5 4 => 0 0.125
5 4 => -4 0.0416666666667
5 4 => 2 0.291666666667
5 4 => 5 0.208333333333
5 4 => 7 0.0416666666667
5 4 => 128 0.0416666666667
9 6 => 2 1.0
128 5 => 128 0.636363636364
128 5 => 4 0.363636363636
11 9 128 => 7 1.0
-3 9 => 7 1.0
10 128 9 => 128 0.666666666667
10 128 9 => 5 0.333333333333
7 2 => -1 1.0
0 7 => 10 0.166666666667
0 7 => 12 0.166666666667
0 7 => 128 0.25
0 7 => 5 0.0833333333333
0 7 => 4 0.0833333333333
0 7 => -3 0.166666666667
0 7 => 9 0.0833333333333
0 => 10 0.00892857142857
0 => 12 0.0357142857143
0 => 7 0.107142857143
0 => 128 0.303571428571
0 => -5 0.00892857142857
0 => -4 0.00892857142857
0 => 2 0.107142857143
0 => -1 0.25
0 => 4 0.0267857142857
0 => -3 0.0357142857143
0 => 9 0.0625
0 => 5 0.0178571428571
0 => -8 0.0267857142857
128 -4 128 => -3 1.0
-3 8 => 9 1.0
-3 5 128 => -4 1.0
128 -9 => 128 1.0
2 14 => 12 1.0
11 0 => 7 1.0
-7 -8 => -7 0.857142857143
-7 -8 => -9 0.142857142857
128 4 128 -4 => -1 1.0
-3 -1 0 => -1 0.857142857143
-3 -1 0 => -3 0.142857142857
17 14 11 => 12 1.0
7 10 => 7 1.0
-5 128 => -5 0.25
-5 128 => -11 0.125
-5 128 => 5 0.5
-5 128 => 7 0.125
3 4 128 => 12 0.5
3 4 128 => 4 0.5
-3 -4 => -8 0.285714285714
-3 -4 => -3 0.714285714286
0 5 => 128 1.0
8 16 => 8 1.0
4 -5 => -1 1.0
5 7 => 9 0.875
5 7 => 6 0.125
-5 2 0 => 9 0.222222222222
-5 2 0 => 128 0.444444444444
-5 2 0 => 12 0.111111111111
-5 2 0 => -3 0.111111111111
-5 2 0 => 7 0.111111111111
-6 2 0 => -3 1.0
6 2 128 4 => 3 1.0
8 2 => 4 1.0
7 -5 => 7 1.0
4 2 0 => 9 0.285714285714
4 2 0 => 2 0.285714285714
4 2 0 => -1 0.428571428571
-5 -3 => -5 0.333333333333
-5 -3 => -7 0.666666666667
-3 128 -3 => 0 0.4
-3 128 -3 => 4 0.6
1 4 2 => -1 0.5
1 4 2 => 6 0.5
7 6 => 11 0.166666666667
7 6 => 9 0.166666666667
7 6 => 4 0.333333333333
7 6 => 7 0.333333333333
10 => 128 0.25
10 => 9 0.25
10 => 7 0.5
-1 -8 -7 => -8 1.0
2 -4 => 128 0.833333333333
2 -4 => -3 0.166666666667
8 9 128 => 4 0.5
8 9 128 => 16 0.5
2 0 7 => 5 1.0
3 128 4 => 128 0.666666666667
3 128 4 => -5 0.0833333333333
3 128 4 => 7 0.0833333333333
3 128 4 => 6 0.166666666667
16 14 => 11 0.333333333333
16 14 => 128 0.166666666667
16 14 => 13 0.333333333333
16 14 => 12 0.166666666667
-6 128 -3 128 => -9 1.0
1 2 => 5 1.0
15 12 7 => 11 1.0
-1 128 4 => 2 1.0
6 => 11 0.03125
6 => 18 0.03125
6 => 128 0.125
6 => 3 0.0625
6 => 2 0.125
6 => 5 0.0625
6 => 4 0.15625
6 => 7 0.21875
6 => 9 0.125
6 => 8 0.0625
9 5 7 9 => 5 1.0
-10 128 -3 => -5 1.0
-1 11 => 9 0.5
-1 11 => 12 0.5
2 -1 2 => 1 0.666666666667
2 -1 2 => 7 0.333333333333
5 128 2 => 128 1.0
128 11 128 9 => -3 1.0
5 2 128 => 5 1.0
6 2 0 => -5 1.0
-3 4 5 => 4 1.0
128 -5 => 128 0.714285714286
128 -5 => -1 0.142857142857
128 -5 => -2 0.142857142857
6 128 3 => 128 1.0
4 9 128 9 => 8 1.0
-4 128 => -3 1.0
4 -1 0 => -4 1.0
2 -1 0 => 128 0.714285714286
2 -1 0 => 2 0.285714285714
8 11 14 11 => 8 1.0
8 6 => 4 1.0
128 2 => 128 0.761904761905
128 2 => 1 0.0952380952381
128 2 => -7 0.047619047619
128 2 => 14 0.047619047619
128 2 => 0 0.047619047619
5 9 => 14 0.5
5 9 => 7 0.5
-8 -3 => 0 1.0
-11 => 128 0.5
-11 => -2 0.5
1 -1 => -2 1.0
-3 0 => 128 0.454545454545
-3 0 => -1 0.454545454545
-3 0 => 4 0.0909090909091
128 14 => 128 0.2
128 14 => 13 0.4
128 14 => 16 0.4
2 -4 128 -3 128 => -3 1.0
12 4 => 11 0.333333333333
12 4 => 7 0.666666666667
-1 2 => 1 0.166666666667
-1 2 => -4 0.5
-1 2 => -1 0.166666666667
-1 2 => 4 0.0833333333333
-1 2 => 7 0.0833333333333
8 9 11 => 8 1.0
9 -3 => -1 1.0
128 4 => -5 0.030303030303
128 4 => 1 0.030303030303
128 4 => 3 0.030303030303
128 4 => 2 0.030303030303
128 4 => 5 0.030303030303
128 4 => 7 0.0606060606061
128 4 => 6 0.0606060606061
128 4 => 128 0.727272727273
4 5 128 4 => 7 1.0
9 4 5 => 1 1.0
1 -3 => 1 0.111111111111
1 -3 => -4 0.444444444444
1 -3 => 2 0.111111111111
1 -3 => -1 0.111111111111
1 -3 => 4 0.111111111111
1 -3 => 8 0.111111111111
12 128 0 => 12 0.75
12 128 0 => 7 0.25
4 9 8 => 6 1.0
12 128 9 128 => 8 0.333333333333
12 128 9 128 => 6 0.666666666667
-5 -1 -5 => -1 1.0
-3 128 -4 => 128 0.666666666667
-3 128 -4 => -8 0.111111111111
-3 128 -4 => -3 0.222222222222
-9 -8 => -9 0.666666666667
-9 -8 => 4 0.333333333333
-7 9 => 128 1.0
2 0 => 12 0.047619047619
2 0 => -3 0.0952380952381
2 0 => -5 0.047619047619
2 0 => 9 0.190476190476
2 0 => 2 0.142857142857
2 0 => -1 0.190476190476
2 0 => 7 0.047619047619
2 0 => 128 0.238095238095
128 -4 128 -3 => 128 1.0
13 11 9 => 8 0.666666666667
13 11 9 => 13 0.333333333333
5 2 => 128 0.181818181818
5 2 => 0 0.181818181818
5 2 => -1 0.272727272727
5 2 => 4 0.181818181818
5 2 => 9 0.0909090909091
5 2 => 5 0.0909090909091
5 => -5 0.0149253731343
5 => 14 0.0149253731343
5 => 1 0.0149253731343
5 => 128 0.238805970149
5 => 3 0.0149253731343
5 => 2 0.164179104478
5 => 4 0.358208955224
5 => 7 0.119402985075
5 => 6 0.0298507462687
5 => 9 0.0298507462687
-3 5 => 128 1.0
7 5 128 => 10 0.5
7 5 128 => 4 0.5
12 7 => 11 0.2
12 7 => 0 0.2
12 7 => 12 0.4
12 7 => 4 0.2
7 16 => 128 1.0
-5 5 => 3 1.0
-3 4 => 1 0.0909090909091
-3 4 => -4 0.0909090909091
-3 4 => 2 0.181818181818
-3 4 => 5 0.454545454545
-3 4 => 6 0.0909090909091
-3 4 => 128 0.0909090909091
11 12 128 => 9 1.0
7 128 9 => 128 1.0
128 -4 128 -3 128 => -1 1.0
12 8 => 9 1.0
7 9 5 => 2 0.666666666667
7 9 5 => 14 0.333333333333
4 11 => 128 0.2
4 11 => 9 0.4
4 11 => 12 0.2
4 11 => 14 0.2
0 128 -3 => 128 1.0
14 => 11 0.621621621622
14 => 128 0.0810810810811
14 => 13 0.108108108108
14 => 12 0.0810810810811
14 => 16 0.108108108108
-6 -10 128 => -3 1.0
4 11 9 => 16 1.0
8 4 11 => 9 1.0
-7 => 9 0.0833333333333
-7 => -10 0.416666666667
-7 => -5 0.125
-7 => -8 0.291666666667
-7 => -3 0.0833333333333
0 -5 => 2 1.0
2 => 11 0.0102040816327
2 => 14 0.0102040816327
2 => 17 0.0102040816327
2 => -4 0.0612244897959
2 => 128 0.224489795918
2 => 1 0.0918367346939
2 => 0 0.214285714286
2 => -7 0.0102040816327
2 => -1 0.214285714286
2 => 4 0.0612244897959
2 => 7 0.0102040816327
2 => 6 0.0204081632653
2 => 9 0.030612244898
2 => 5 0.030612244898
-3 128 4 => 128 1.0
12 9 => 11 0.142857142857
12 9 => 12 0.142857142857
12 9 => 2 0.0714285714286
12 9 => 5 0.5
12 9 => 4 0.0714285714286
12 9 => 6 0.0714285714286
9 11 7 => 4 0.666666666667
9 11 7 => 16 0.333333333333
16 14 11 => 128 1.0
-3 0 -1 => -5 0.4
-3 0 -1 => 0 0.4
-3 0 -1 => -3 0.2
7 -3 => 9 1.0
-12 -8 => -3 1.0
2 128 => -5 0.0454545454545
2 128 => 0 0.409090909091
2 128 => 1 0.0909090909091
2 128 => -4 0.0454545454545
2 128 => 2 0.0454545454545
2 128 => 5 0.0909090909091
2 128 => 4 0.227272727273
2 128 => -1 0.0454545454545
-5 7 => 128 0.5
-5 7 => 5 0.5
2 4 => 0 0.166666666667
2 4 => 2 0.333333333333
2 4 => 5 0.5
12 128 => 11 0.257142857143
12 128 => 12 0.485714285714
12 128 => 0 0.114285714286
12 128 => 3 0.0285714285714
12 128 => -3 0.0285714285714
12 128 => 9 0.0857142857143
7 128 0 => 9 1.0
6 128 3 128 4 => 6 1.0
5 128 0 => 7 1.0
-5 128 5 => 128 1.0
-2 -1 => 2 1.0
-3 9 7 => -1 1.0
128 2 0 => 2 1.0
11 8 9 => 128 0.333333333333
11 8 9 => 13 0.666666666667
15 11 => 128 1.0
3 4 9 => 4 1.0
4 7 => 11 0.142857142857
4 7 => 12 0.571428571429
4 7 => 4 0.285714285714
13 4 => 6 1.0
2 128 2 => 14 1.0
-3 7 9 => 10 1.0
2 6 => 2 0.5
2 6 => 7 0.5
128 11 => 128 0.714285714286
128 11 => 8 0.0714285714286
128 11 => 12 0.214285714286
8 => 11 0.137931034483
8 => 16 0.0344827586207
8 => 3 0.0689655172414
8 => 2 0.0344827586207
8 => 4 0.275862068966
8 => 6 0.0344827586207
8 => 9 0.413793103448
-1 128 => 0 0.6
-1 128 => 2 0.2
-1 128 => 4 0.1
-1 128 => -3 0.1
2 -4 -3 => 16 1.0
-11 128 => -10 1.0
-1 -4 => -8 0.333333333333
-1 -4 => -3 0.666666666667
-5 0 => 10 0.333333333333
-5 0 => 7 0.666666666667
-8 -1 => -3 1.0
9 8 => 9 0.214285714286
