19 12 => 17 0.25
19 12 => 7 0.25
-19 12 => 10 1.0
-16 15 14 => 17 1.0
5 15 => 12 0.5
5 15 => 5 0.5
-4 14 => 15 1.0
-5 19 => 15 1.0
-5 15 => -5 0.333333333333
-5 15 => 14 0.666666666667
15 3 => 17 1.0
17 11 => -7 0.333333333333
17 11 => 15 0.333333333333
17 11 => 14 0.333333333333
7 2 => -5 0.5
7 2 => 5 0.5
-2 12 => 0 1.0
-7 17 => 19 1.0
0 7 => -5 1.0
0 => 10 0.0487804878049
0 => 12 0.121951219512
0 => 20 0.0243902439024
0 => 17 0.0243902439024
0 => 22 0.0243902439024
0 => 23 0.0243902439024
0 => 19 0.0243902439024
0 => -5 0.121951219512
0 => 3 0.0731707317073
0 => 2 0.268292682927
0 => -1 0.121951219512
0 => 7 0.0487804878049
0 => -2 0.0243902439024
0 => 129 0.0487804878049
12 14 15 => 19 0.5
12 14 15 => 10 0.5
23 24 => 19 0.5
23 24 => 17 0.5
19 7 => 5 1.0
-7 -1 0 => 2 1.0
2 14 => 3 1.0
22 5 => -19 1.0
19 14 15 => -10 1.0
5 3 => 0 0.5
5 3 => 2 0.25
5 3 => 14 0.25
7 10 => 8 0.5
7 10 => 3 0.5
5 12 => 8 0.333333333333
5 12 => 3 0.333333333333
5 12 => 7 0.333333333333
-14 10 => 12 1.0
15 9 => 10 0.5
15 9 => 17 0.5
-10 17 19 => -9 1.0
17 -17 => 24 1.0
10 7 => 8 0.333333333333
10 7 => -9 0.333333333333
10 7 => 6 0.333333333333
14 19 => 12 0.2
14 19 => 15 0.2
14 19 => 14 0.2
14 19 => 17 0.4
-7 12 14 => 19 1.0
7 -5 => 19 0.5
7 -5 => 0 0.5
0 129 => 0 0.5
0 129 => -1 0.5
-7 -1 => 0 1.0
8 -5 => 10 1.0
10 => 13 0.0217391304348
10 => 12 0.195652173913
10 => 15 0.0869565217391
10 => 14 0.0652173913043
10 => 17 0.0434782608696
10 => 16 0.0434782608696
10 => 19 0.0869565217391
10 => -5 0.0434782608696
10 => -10 0.0217391304348
10 => 3 0.0652173913043
10 => 8 0.108695652174
10 => 7 0.0652173913043
10 => -2 0.0217391304348
10 => 9 0.0869565217391
10 => 20 0.0434782608696
26 => 27 1.0
2 20 => 19 1.0
11 20 19 => 14 1.0
17 14 15 => 0 1.0
19 17 15 => 17 1.0
8 19 => 20 1.0
12 0 => 19 0.333333333333
12 0 => 3 0.333333333333
12 0 => 12 0.333333333333
-16 15 => 14 1.0
17 12 => 0 0.2
17 12 => 20 0.4
17 12 => -17 0.2
17 12 => 17 0.2
17 19 17 => 9 1.0
-9 -4 => 12 1.0
15 17 => 10 0.125
15 17 => 15 0.125
15 17 => 14 0.25
15 17 => 19 0.125
15 17 => -5 0.125
15 17 => 3 0.125
15 17 => 2 0.125
6 => 2 0.333333333333
6 => 15 0.333333333333
6 => 7 0.333333333333
3 14 => 15 0.666666666667
3 14 => 7 0.333333333333
12 10 => 9 0.2
12 10 => 8 0.2
12 10 => 13 0.2
12 10 => 14 0.4
13 19 => -4 1.0
10 19 17 => 3 1.0
-9 15 => 12 0.666666666667
-9 15 => 17 0.333333333333
-16 => 8 0.5
-16 => 15 0.5
17 -9 => 24 1.0
16 -5 => -7 1.0
12 2 => 11 0.5
12 2 => 3 0.5
17 2 => 0 0.5
17 2 => 20 0.5
15 0 => -1 0.666666666667
15 0 => 17 0.333333333333
12 3 => 10 0.333333333333
12 3 => 2 0.333333333333
12 3 => 14 0.333333333333
-11 => 16 1.0
20 15 => 11 1.0
20 12 => 3 0.5
20 12 => -9 0.5
-9 24 => 23 1.0
14 15 => 10 0.133333333333
14 15 => 12 0.0666666666667
14 15 => 17 0.0666666666667
14 15 => 0 0.0666666666667
14 15 => 19 0.133333333333
14 15 => -5 0.2
14 15 => -10 0.0666666666667
14 15 => -7 0.0666666666667
14 15 => 7 0.133333333333
14 15 => 9 0.0666666666667
24 16 => 25 1.0
13 12 => 11 1.0
-1 2 => 0 1.0
19 14 => 10 0.25
19 14 => 15 0.25
19 14 => 17 0.25
19 14 => 20 0.25
12 19 => -5 0.25
12 19 => 15 0.75
12 5 => 15 1.0
5 17 => 14 1.0
9 10 => 12 0.5
9 10 => -2 0.5
-5 17 => 11 0.5
-5 17 => 14 0.5
15 10 12 => 6 1.0
5 15 12 => 20 1.0
2 0 => 2 0.714285714286
2 0 => -1 0.285714285714
20 19 17 => 20 0.333333333333
20 19 17 => 15 0.333333333333
20 19 17 => 14 0.333333333333
10 20 => 13 0.5
10 20 => 22 0.5
5 2 => 0 0.666666666667
5 2 => 17 0.333333333333
14 10 12 => 10 1.0
5 => 11 0.0357142857143
5 => 12 0.107142857143
5 => 15 0.0714285714286
5 => 14 0.0357142857143
5 => 17 0.0357142857143
5 => 19 0.0357142857143
5 => 3 0.142857142857
5 => -4 0.0714285714286
5 => -7 0.0357142857143
5 => 2 0.107142857143
5 => -1 0.0714285714286
5 => 7 0.107142857143
5 => 129 0.0714285714286
5 => -19 0.0357142857143
5 => 20 0.0357142857143
-5 -4 => 2 1.0
12 7 => 12 0.142857142857
12 7 => 15 0.285714285714
12 7 => 3 0.142857142857
12 7 => -1 0.142857142857
12 7 => 8 0.142857142857
12 7 => 5 0.142857142857
-24 => 27 1.0
14 -7 => 11 1.0
12 8 => 11 0.125
