12 11 => -17 0.0434782608696
12 11 => 6 0.0434782608696
12 11 => 9 0.0434782608696
12 11 => 14 0.130434782609
-24 4 => 2 1.0
-8 -5 => 4 1.0
15 7 12 => -17 1.0
17 6 => 18 0.666666666667
17 6 => -3 0.333333333333
-12 12 => 9 0.142857142857
-12 12 => 0 0.571428571429
-12 12 => 15 0.142857142857
-12 12 => -10 0.142857142857
18 20 => -1 1.0
-25 -7 => -24 1.0
11 12 => 10 0.153846153846
11 12 => 13 0.153846153846
11 12 => 15 0.0769230769231
11 12 => 14 0.153846153846
11 12 => 19 0.153846153846
11 12 => 0 0.153846153846
11 12 => 3 0.0769230769231
11 12 => 9 0.0769230769231
4 -19 => 2 1.0
-9 14 => 12 0.5
-9 14 => 2 0.5
-19 17 14 => 17 1.0
9 -5 => 7 1.0
14 17 15 => 19 1.0
17 5 => 7 0.25
17 5 => 17 0.75
14 5 => 8 0.5
14 5 => -10 0.5
12 18 => 12 1.0
11 14 12 11 => -7 1.0
-13 => 14 0.285714285714
-13 => 17 0.142857142857
-13 => -5 0.142857142857
-13 => 2 0.142857142857
-13 => 6 0.142857142857
-13 => 9 0.142857142857
-6 -15 => -10 1.0
10 15 12 => 9 1.0
-1 -5 => -3 1.0
19 8 => 20 1.0
3 0 => 2 0.333333333333
3 0 => 15 0.333333333333
3 0 => 14 0.166666666667
3 0 => 7 0.166666666667
0 2 => 19 0.25
0 2 => -1 0.75
-1 7 => 9 1.0
14 12 11 => 12 0.222222222222
14 12 11 => 14 0.222222222222
14 12 11 => -5 0.222222222222
14 12 11 => -7 0.111111111111
14 12 11 => 7 0.111111111111
14 12 11 => 9 0.111111111111
11 -7 => 9 1.0
-17 14 => 11 0.5
-17 14 => 2 0.166666666667
-17 14 => 12 0.333333333333
-13 -5 => 7 1.0
0 -19 => 12 1.0
-5 11 => 2 1.0
-1 19 => 0 1.0
7 5 4 => -11 0.25
7 5 4 => -5 0.25
7 5 4 => -12 0.25
7 5 4 => -19 0.25
14 12 => 11 0.36
14 12 => 10 0.12
14 12 => 15 0.08
14 12 => 14 0.16
14 12 => -5 0.08
14 12 => 7 0.08
14 12 => -9 0.12
-12 19 => 15 1.0
0 17 => 8 0.5
0 17 => 15 0.5
14 11 14 => 8 0.5
14 11 14 => 3 0.5
-9 14 2 14 => 5 1.0
-24 -12 => 7 1.0
13 11 => -5 1.0
12 -7 => 8 1.0
-6 12 => 13 1.0
-14 -5 => -15 1.0
19 17 => -5 0.25
19 17 => 19 0.125
19 17 => 2 0.125
19 17 => 15 0.25
19 17 => 16 0.25
129 12 => 14 1.0
9 4 => 7 1.0
-7 5 => 4 1.0
-17 -1 => 0 1.0
-14 14 => 19 1.0
-5 12 11 => -5 1.0
6 12 14 => 0 1.0
8 12 => 15 0.5
8 12 => 17 0.5
0 -10 => 12 1.0
-5 16 => 14 1.0
6 2 => 8 0.25
6 2 => 7 0.75
-6 3 => -6 0.5
-6 3 => -15 0.5
17 16 => 15 0.333333333333
17 16 => 17 0.666666666667
-13 9 7 => 11 1.0
14 -10 => 2 1.0
-7 14 => 2 1.0
-3 14 => -14 1.0
19 5 => 17 1.0
-5 19 7 => 19 1.0
11 -5 => 9 0.166666666667
11 -5 => -10 0.333333333333
11 -5 => 20 0.333333333333
11 -5 => 14 0.166666666667
12 -12 => 15 1.0
5 -10 => 7 0.75
5 -10 => 17 0.25
-5 -7 => -8 1.0
-17 7 => 11 0.25
-17 7 => 0 0.25
-17 7 => 12 0.25
-17 7 => 14 0.25
-14 5 => -10 1.0
129 15 => 129 1.0
22 -9 => 19 1.0
17 -17 => 14 1.0
7 15 => 14 1.0
-7 2 => 0 1.0
16 => 12 0.263157894737
16 => 15 0.0526315789474
16 => 14 0.105263157895
16 => 17 0.368421052632
16 => 19 0.0526315789474
16 => -10 0.0526315789474
16 => 5 0.105263157895
20 19 7 => 2 1.0
-1 => 11 0.115384615385
-1 => -5 0.0769230769231
-1 => 20 0.0384615384615
-1 => 14 0.0384615384615
-1 => 19 0.0769230769231
-1 => 3 0.0769230769231
-1 => 7 0.0384615384615
-1 => -11 0.0384615384615
-1 => 0 0.269230769231
-1 => -7 0.0384615384615
-1 => 2 0.0769230769231
-1 => -12 0.0384615384615
-1 => 6 0.0384615384615
-1 => 15 0.0384615384615
-3 -1 => -5 1.0
-15 12 => 18 1.0
-2 -17 => -5 0.333333333333
-2 -17 => 10 0.666666666667
-17 14 2 => 14 1.0
-12 9 => 12 0.5
-12 9 => -9 0.5
17 8 => -19 0.333333333333
17 8 => 17 0.666666666667
2 15 => 14 1.0
5 6 7 => -8 1.0
14 15 14 12 => 10 1.0
11 20 => -10 1.0
18 2 => 19 1.0
-14 3 => 4 1.0
4 2 => 0 0.333333333333
4 2 => 4 0.666666666667
-5 -10 => 129 0.25
-5 -10 => 7 0.5
-5 -10 => 17 0.25
10 9 => -12 0.25
10 9 => 7 0.75
11 => -5 0.0923076923077
11 => 13 0.0153846153846
11 => 12 0.2
11 => 20 0.0153846153846
11 => 14 0.123076923077
11 => 17 0.0307692307692
11 => 19 0.0307692307692
11 => 6 0.0153846153846
11 => 1 0.0307692307692
11 => 0 0.0615384615385
11 => -7 0.0153846153846
11 => 2 0.0615384615385
11 => 5 0.0923076923077
11 => 7 0.0923076923077
11 => -17 0.0307692307692
11 => 9 0.0615384615385
11 => -1 0.0307692307692
7 -2 => -17 0.25
7 -2 => 5 0.5
7 -2 => -14 0.125
7 -2 => -3 0.125
9 -2 => -10 1.0
5 -19 => 8 1.0
15 -7 => -4 1.0
-8 => 9 0.333333333333
-8 => -5 0.333333333333
-8 => 12 0.333333333333
3 20 => 19 1.0
-9 19 => 15 1.0
-19 8 => 14 1.0
2 -7 => 3 0.5
2 -7 => 14 0.5
2 10 => 7 0.5
2 10 => -22 0.5
0 12 11 12 => 10 1.0
6 129 => 2 1.0
11 2 => 1 0.25
11 2 => 12 0.5
11 2 => 7 0.25
18 => 12 0.111111111111
18 => 20 0.111111111111
18 => 21 0.0555555555556
18 => 17 0.0555555555556
18 => 16 0.0555555555556
18 => 19 0.111111111111
18 => 2 0.0555555555556
18 => 7 0.111111111111
18 => 6 0.277777777778
18 => 15 0.0555555555556
