-8 => -1 0.0384615384615
-8 => 1 0.0384615384615
-8 => -9 0.192307692308
-13 -10 => -4 0.166666666667
-13 -10 => -12 0.666666666667
-13 -10 => -6 0.166666666667
-13 -14 => -10 1.0
-7 -6 => -5 1.0
-3 -6 => -9 0.333333333333
-3 -6 => -8 0.333333333333
-3 -6 => -2 0.333333333333
18 => 13 0.333333333333
18 => 12 0.333333333333
18 => -6 0.333333333333
5 2 0 => 15 1.0
15 10 => 7 0.5
15 10 => 6 0.5
1 -5 => 1 1.0
6 7 => 8 1.0
-8 -5 0 => 4 1.0
16 14 12 => 11 1.0
-12 14 => 11 1.0
-4 -3 => -2 1.0
12 7 3 => 0 0.5
12 7 3 => 6 0.5
-13 -1 => -6 1.0
6 11 => 14 0.333333333333
6 11 => 6 0.666666666667
-1 -7 => -10 0.5
-1 -7 => -1 0.5
15 19 => 24 0.666666666667
15 19 => 15 0.333333333333
1 -2 => -4 0.4
1 -2 => -6 0.4
1 -2 => -8 0.2
-10 -6 => -1 0.5
-10 -6 => -3 0.5
-2 10 => 7 1.0
14 10 => 15 0.5
14 10 => 5 0.5
11 6 => 3 0.5
11 6 => 4 0.5
3 6 => 9 0.5
3 6 => 11 0.25
3 6 => 3 0.25
-12 -9 => -5 0.5
-12 -9 => -10 0.333333333333
-12 -9 => -4 0.166666666667
7 => 11 0.0655737704918
7 => 10 0.016393442623
7 => 13 0.016393442623
7 => 12 0.180327868852
7 => 0 0.016393442623
7 => -4 0.016393442623
7 => 3 0.131147540984
7 => 2 0.0327868852459
7 => 5 0.262295081967
7 => 4 0.0819672131148
7 => 6 0.147540983607
7 => 8 0.0327868852459
-2 0 => -4 1.0
-5 -8 => -11 0.5
-5 -8 => -12 0.5
-6 -2 => 1 1.0
6 3 => 0 0.333333333333
6 3 => -1 0.333333333333
6 3 => -3 0.166666666667
6 3 => 6 0.166666666667
-6 4 => 1 1.0
7 12 => 10 0.0909090909091
7 12 => 15 0.363636363636
7 12 => 17 0.0909090909091
7 12 => 7 0.0909090909091
7 12 => 16 0.363636363636
1 -1 -2 => -4 0.666666666667
1 -1 -2 => 6 0.333333333333
5 10 => 8 0.5
5 10 => 5 0.5
9 15 => 10 1.0
-9 -14 => -6 0.5
-9 -14 => 14 0.5
-4 8 => 4 1.0
-10 -2 -4 => -7 1.0
17 14 => 8 1.0
-11 -10 => -6 0.333333333333
-11 -10 => -9 0.666666666667
-3 7 => 4 1.0
4 => 12 0.0277777777778
4 => 1 0.194444444444
4 => 0 0.0555555555556
4 => 3 0.194444444444
4 => 2 0.138888888889
4 => 5 0.0833333333333
