-8|	-7|-8	0.333333333333
-8|	-2|	0.0285714285714
-8|	19|	0.0285714285714
-8|	-3|-8	1.0
-8|	-13|	0.142857142857
-8|	-12|	0.142857142857
-8|	9|-8	1.0
-8|	-5|-8	0.5
4|2	7|4	0.1
4|2	0|4	0.4
4|2	5|	0.5
-7|-10	-8|-7.-10	0.333333333333
7|5	9|7	1.0
14|16.-8	12|14.16.-8	1.0
17|	16|	0.75
17|	12|17	1.0
-8|-3	-2|	0.333333333333
-8|-3	-7|-8	0.333333333333
-8|-3	-3|-8	0.333333333333
-6|	-5|-6	1.0
-6|	-3|-6	0.666666666667
0|4.0.4	9|0	0.5
0|4.0.4	-3|0	0.5
7|4	5|7	0.25
7|4	4|7	0.75
-1|-12	-10|	1.0
-3|4	0|-3	1.0
11|12.-3	9|11.12.-3	1.0
16|-8	14|16.-8	1.0
-7|-5	-5|-7	1.0
