7 15 => -27 0.8
7 15 => -15 0.2
-17 -33 -36 => 14 1.0
-13 3 => 0 0.25
-13 3 => -25 0.75
16 => 24 0.05
16 => 12 0.1
16 => -24 0.1
16 => -33 0.05
16 => -32 0.05
16 => -5 0.2
16 => 0 0.2
16 => -12 0.05
16 => -17 0.15
16 => -8 0.05
-27 -13 => -29 0.0119760479042
-27 -13 => -25 0.281437125749
-27 -13 => 0 0.0119760479042
-27 -13 => 3 0.0239520958084
-27 -13 => 5 0.0718562874251
-27 -13 => 7 0.125748502994
-27 -13 => -12 0.0119760479042
-27 -13 => -15 0.0359281437126
-27 -13 => -14 0.0538922155689
-27 -13 => -17 0.0059880239521
-27 -13 => -19 0.0119760479042
-27 -13 => 10 0.0059880239521
-27 -13 => 12 0.0119760479042
-27 -13 => 15 0.0059880239521
-27 -13 => 14 0.0119760479042
-27 -13 => 17 0.0059880239521
-27 -13 => -38 0.059880239521
-27 -13 => -33 0.0419161676647
-27 -13 => -31 0.0179640718563
-27 -13 => -5 0.0119760479042
-27 -13 => -7 0.131736526946
-27 -13 => -2 0.0419161676647
-27 -13 => -9 0.0059880239521
-27 -8 => -24 0.666666666667
-27 -8 => 14 0.333333333333
-27 -33 => -25 0.4
-27 -33 => -27 0.2
-27 -33 => -17 0.2
-27 -33 => -12 0.2
-1 => -13 0.166666666667
-1 => -45 0.166666666667
-1 => -40 0.333333333333
-1 => 7 0.166666666667
-1 => -31 0.166666666667
24 -17 => -36 1.0
15 -25 => -34 1.0
-15 12 => -25 0.6
-15 12 => -2 0.4
-27 -25 -31 => -12 1.0
-2 -17 => -27 1.0
-18 -12 => -13 1.0
-36 -17 => 10 0.230769230769
-36 -17 => 12 0.153846153846
-36 -17 => 16 0.0769230769231
-36 -17 => -5 0.0769230769231
-36 -17 => -7 0.153846153846
-36 -17 => 2 0.307692307692
-12 7 -27 => -13 0.333333333333
-12 7 -27 => -12 0.333333333333
-12 7 -27 => 5 0.333333333333
17 -14 => -30 1.0
-3 -12 => -25 1.0
-7 -12 => 12 0.142857142857
-7 -12 => -27 0.857142857143
-13 -9 => -25 0.5
-13 -9 => -12 0.5
-24 -27 -17 => -15 1.0
-33 => 12 0.0140845070423
-33 => 15 0.0422535211268
-33 => 7 0.140845070423
-33 => -36 0.366197183099
-33 => -27 0.0704225352113
-33 => -32 0.0140845070423
-33 => -22 0.0140845070423
-33 => 0 0.0281690140845
-33 => 2 0.0281690140845
-33 => -15 0.0281690140845
-33 => -12 0.0140845070423
-33 => -17 0.0422535211268
-33 => -25 0.12676056338
-33 => 129 0.0281690140845
-33 => 5 0.0281690140845
-33 => -31 0.0140845070423
15 -15 -2 => 0 1.0
20 -40 => -28 1.0
-36 16 => -8 1.0
11 => 12 0.2
11 => -1 0.4
11 => -31 0.4
7 -2 => 3 0.666666666667
7 -2 => -41 0.333333333333
7 -33 -36 => 7 1.0
-8 => -24 0.3
-8 => 12 0.2
-8 => -29 0.4
-8 => 14 0.1
-13 -38 => -25 0.2
-13 -38 => 5 0.3
-13 -38 => 7 0.1
-13 -38 => -2 0.4
-21 -4 => -27 0.5
-21 -4 => -15 0.5
-2 -14 -25 => 0 0.5
-2 -14 -25 => -21 0.5
-24 -13 => -17 1.0
-19 -25 -13 => -7 0.333333333333
-19 -25 -13 => -27 0.666666666667
-27 -25 -31 -12 => -27 1.0
-12 7 -12 => 5 0.333333333333
-12 7 -12 => 7 0.666666666667
-33 5 => -7 1.0
18 -15 => -6 1.0
-24 10 => -36 0.285714285714
-24 10 => -27 0.285714285714
-24 10 => -17 0.142857142857
-24 10 => 7 0.285714285714
0 -31 => -2 1.0
18 => 129 0.333333333333
18 => -6 0.333333333333
18 => -15 0.333333333333
-25 -27 -13 -25 -27 => 0 1.0
-39 12 => -27 1.0
-45 -27 => 3 1.0
14 13 1 => 13 1.0
5 -7 => 0 0.666666666667
5 -7 => -13 0.0952380952381
5 -7 => -12 0.047619047619
5 -7 => 5 0.0952380952381
5 -7 => -25 0.0952380952381
-27 -17 12 => -24 0.666666666667
-27 -17 12 => -15 0.333333333333
-13 -2 => -5 0.111111111111
-13 -2 => -25 0.666666666667
-13 -2 => -14 0.111111111111
-13 -2 => 0 0.111111111111
12 13 => 1 1.0
-41 15 => -27 1.0
-17 => 22 0.00833333333333
-17 => -24 0.025
-17 => -27 0.258333333333
-17 => -23 0.0166666666667
-17 => 0 0.025
-17 => 2 0.0333333333333
-17 => 7 0.0166666666667
-17 => -13 0.116666666667
-17 => -12 0.0166666666667
-17 => -15 0.075
-17 => -14 0.0166666666667
-17 => 10 0.0333333333333
-17 => 12 0.108333333333
-17 => 15 0.00833333333333
-17 => -38 0.00833333333333
-17 => -36 0.025
-17 => 16 0.0166666666667
-17 => -33 0.0416666666667
-17 => -32 0.0916666666667
-17 => -5 0.00833333333333
-17 => -7 0.0416666666667
-17 => -3 0.00833333333333
-17 -7 -27 => -2 1.0
10 -2 => -27 0.5
10 -2 => 17 0.25
10 -2 => -38 0.25
1 13 => 1 1.0
3 -25 -34 => 3 1.0
-17 -12 => -25 0.5
-17 -12 => -14 0.5
-12 -14 => -25 0.333333333333
-12 -14 => -12 0.666666666667
-25 -5 => -34 1.0
0 12 => 15 1.0
-29 10 -27 => -17 1.0
-13 -25 12 => -27 1.0
-38 -27 => -13 0.833333333333
-38 -27 => -2 0.166666666667
24 12 => -24 0.333333333333
24 12 => -27 0.333333333333
24 12 => -17 0.333333333333
-34 -24 => -15 1.0
-27 12 -15 => -25 0.5
-27 12 -15 => -2 0.5
7 -14 => -12 0.5
7 -14 => 7 0.5
-27 16 => -24 0.666666666667
-27 16 => 12 0.333333333333
-12 5 -7 0 => -12 1.0
2 -27 12 => -27 0.666666666667
2 -27 12 => -17 0.333333333333
26 -27 => -24 1.0
-25 12 -17 => -27 1.0
15 -24 -27 => 7 1.0
-7 -12 -27 => -13 0.666666666667
-7 -12 -27 => 5 0.166666666667
-7 -12 -27 => 7 0.166666666667
-7 -25 => 12 0.0882352941176
-7 -25 => -29 0.0294117647059
-7 -25 => -5 0.0294117647059
-7 -25 => -7 0.0294117647059
-7 -25 => -12 0.617647058824
-7 -25 => 5 0.0294117647059
-7 -25 => 7 0.147058823529
-7 -25 => -18 0.0294117647059
-2 -36 -27 => -24 0.5
-2 -36 -27 => 15 0.5
129 -17 => -15 1.0
-27 -21 => -36 0.166666666667
-27 -21 => -27 0.666666666667
-27 -21 => -28 0.166666666667
-5 -27 => 0 0.571428571429
-5 -27 => -13 0.142857142857
-5 -27 => 14 0.142857142857
-5 -27 => -17 0.142857142857
-12 -25 => 10 0.08
-12 -25 => 12 0.04
-12 -25 => 15 0.08
-12 -25 => 14 0.04
-12 -25 => -13 0.04
-12 -25 => -31 0.2
-12 -25 => -7 0.04
-12 -25 => -12 0.48
-25 10 => -12 0.5
-25 10 => -27 0.25
-25 10 => -2 0.25
11 -1 => -31 0.5
11 -1 => 7 0.5
-12 -38 => -25 1.0
5 -25 -27 => -13 1.0
-12 -17 -27 => 12 0.111111111111
-12 -17 -27 => -3 0.111111111111
-12 -17 -27 => -12 0.666666666667
-12 -17 -27 => 7 0.111111111111
7 -25 7 => -17 1.0
-29 => 10 0.105263157895
-29 => -28 0.0526315789474
-29 => -25 0.105263157895
-29 => -27 0.263157894737
-29 => -31 0.105263157895
-29 => -12 0.105263157895
-29 => -17 0.0526315789474
-29 => -19 0.0526315789474
-29 => 129 0.0526315789474
-29 => -9 0.105263157895
-27 15 -27 => -42 1.0
-17 -24 => 10 0.666666666667
-17 -24 => 14 0.333333333333
15 14 -12 => -27 1.0
14 -17 => 0 1.0
-32 -15 => 0 1.0
-19 => -25 0.428571428571
-19 => -1 0.142857142857
-19 => -29 0.142857142857
-19 => -31 0.142857142857
-19 => -21 0.142857142857
15 -12 -27 => -13 0.5
15 -12 -27 => 14 0.5
7 => 10 0.0161290322581
7 => 15 0.0403225806452
7 => -17 0.0322580645161
7 => -39 0.00806451612903
7 => -25 0.217741935484
7 => -27 0.153225806452
7 => -33 0.129032258065
7 => -7 0.0241935483871
7 => -5 0.0322580645161
7 => 3 0.0241935483871
7 => 2 0.00806451612903
7 => -15 0.0322580645161
7 => -14 0.0161290322581
7 => -12 0.129032258065
7 => -36 0.0725806451613
7 => 5 0.0322580645161
7 => -2 0.0241935483871
7 => 8 0.00806451612903
-2 0 => -25 0.333333333333
-2 0 => -13 0.333333333333
-2 0 => 16 0.333333333333
5 -15 => -2 1.0
-28 -21 => -4 0.25
-28 -21 => -27 0.5
-28 -21 => 8 0.25
12 -25 => -13 0.666666666667
12 -25 => -34 0.333333333333
2 -13 -33 => -36 1.0
15 -13 => -12 1.0
-6 -2 => -21 1.0
-22 => -24 0.4
-22 => 12 0.4
-22 => -31 0.2
-25 -38 => 0 0.142857142857
-25 -38 => -27 0.857142857143
14 -25 => 12 1.0
1 -27 => -6 0.5
1 -27 => -28 0.5
10 -17 => 10 1.0
-25 15 => -12 0.333333333333
-25 15 => -34 0.166666666667
-25 15 => 7 0.5
-28 -40 => -21 1.0
