26 => 14 0.2
26 => 23 0.6
16 14 => 11 0.0232558139535
16 14 => 13 0.093023255814
16 14 => 12 0.418604651163
16 14 => 20 0.0232558139535
16 14 => 21 0.0232558139535
16 14 => 17 0.0232558139535
16 14 => 16 0.302325581395
16 14 => 19 0.0697674418605
16 14 => 26 0.0232558139535
1 2 => 5 0.4
1 2 => 4 0.4
1 2 => -3 0.2
21 14 => 11 1.0
6 => 24 0.08
6 => 12 0.04
6 => 14 0.08
6 => 3 0.04
6 => 2 0.04
6 => 5 0.12
6 => 7 0.48
6 => 9 0.12
12 10 => 11 0.285714285714
12 10 => 8 0.142857142857
12 10 => 12 0.142857142857
12 10 => 14 0.285714285714
12 10 => 7 0.142857142857
18 21 => 24 0.666666666667
18 21 => 12 0.333333333333
16 18 => 19 0.333333333333
16 18 => 20 0.333333333333
16 18 => 16 0.333333333333
11 13 => 14 1.0
14 16 17 => 19 0.666666666667
14 16 17 => 14 0.333333333333
17 11 14 => 17 1.0
11 -2 => 2 1.0
12 2 => 6 1.0
16 7 => 6 1.0
16 13 => 14 0.5
16 13 => 17 0.5
14 19 14 => 18 0.333333333333
14 19 14 => 12 0.333333333333
14 19 14 => 16 0.333333333333
2 14 12 => 9 1.0
4 0 7 9 => 5 1.0
5 9 => 12 0.25
5 9 => 14 0.25
5 9 => 7 0.5
12 9 12 => 10 1.0
-8 -3 => 1 1.0
12 14 12 => 11 0.333333333333
12 14 12 => 14 0.333333333333
12 14 12 => 16 0.333333333333
12 17 => 11 0.166666666667
12 17 => 9 0.166666666667
12 17 => 15 0.333333333333
12 17 => 21 0.166666666667
12 17 => 16 0.166666666667
24 20 => 24 0.666666666667
24 20 => 19 0.333333333333
23 19 => 26 0.25
23 19 => 14 0.5
23 19 => 7 0.25
3 19 17 => 15 1.0
20 21 => 19 0.166666666667
20 21 => 13 0.333333333333
20 21 => 12 0.166666666667
20 21 => 7 0.166666666667
20 21 => 23 0.166666666667
-3 0 => 5 1.0
24 16 => 24 0.5
24 16 => 21 0.5
23 21 => 19 0.4
23 21 => 20 0.3
23 21 => 14 0.1
23 21 => 23 0.2
8 9 11 => 9 1.0
10 11 => 9 0.5
10 11 => 7 0.5
5 0 => 1 0.333333333333
5 0 => 9 0.666666666667
-2 2 => 7 1.0
11 12 11 => 9 0.166666666667
11 12 11 => 12 0.833333333333
8 9 11 9 => 12 1.0
15 17 19 => 12 1.0
5 17 => 14 1.0
4 0 7 => 9 1.0
9 10 => 9 0.333333333333
9 10 => 7 0.666666666667
16 14 16 14 => 13 0.0769230769231
16 14 16 14 => 12 0.230769230769
16 14 16 14 => 16 0.692307692308
9 0 => 12 1.0
12 6 => 9 1.0
2 0 => 19 0.0714285714286
2 0 => 2 0.357142857143
2 0 => -1 0.428571428571
2 0 => 7 0.142857142857
11 9 11 12 => 2 1.0
5 2 => 9 0.125
5 2 => 0 0.5
5 2 => 5 0.125
5 2 => 4 0.25
24 19 21 => 13 1.0
17 21 => 11 0.25
17 21 => 24 0.25
17 21 => 16 0.5
5 => 12 0.0175438596491
5 => 14 0.0175438596491
5 => 17 0.0175438596491
5 => 3 0.0350877192982
5 => 0 0.0526315789474
5 => -7 0.0175438596491
5 => 2 0.140350877193
5 => -1 0.0175438596491
5 => 4 0.298245614035
5 => 7 0.298245614035
5 => 6 0.0175438596491
5 => 9 0.0701754385965
12 7 => 10 0.142857142857
12 7 => 12 0.285714285714
12 7 => 5 0.142857142857
12 7 => 4 0.142857142857
12 7 => 6 0.285714285714
19 17 19 17 16 => 18 1.0
7 16 => 13 1.0
-5 5 => 4 1.0
18 9 => 12 1.0
4 11 => 7 1.0
16 7 6 => 9 1.0
13 14 16 17 => 14 1.0
14 => 11 0.102189781022
14 => 10 0.00729927007299
14 => 13 0.0583941605839
14 => 12 0.306569343066
14 => 15 0.014598540146
14 => 21 0.014598540146
14 => 17 0.043795620438
14 => 16 0.21897810219
14 => 19 0.116788321168
14 => 18 0.014598540146
14 => 23 0.00729927007299
14 => 26 0.00729927007299
