-7 19 => -3 1.0
22 -4 => 27 1.0
129 16 => 12 1.0
12 129 => -8 1.0
-22 14 => -7 1.0
129 -7 => 16 1.0
16 15 => 14 1.0
31 => 0 0.2
31 => -12 0.6
31 => 16 0.2
21 5 => 9 0.5
21 5 => 2 0.5
-12 7 12 => -12 1.0
29 => -14 1.0
31 0 => -1 1.0
11 -17 5 => 2 1.0
12 11 => 17 1.0
-5 -17 => 5 0.333333333333
-5 -17 => 4 0.333333333333
-5 -17 => 7 0.333333333333
-12 12 => 31 1.0
13 9 => 5 1.0
11 12 => 0 0.5
11 12 => 5 0.5
-29 12 => -7 1.0
4 8 => 11 1.0
-19 22 => 2 1.0
9 -5 => 14 1.0
17 5 => 12 0.5
17 5 => 14 0.5
14 5 => 9 0.25
14 5 => 2 0.5
14 5 => 7 0.25
-17 -8 => -17 1.0
19 -3 => 21 1.0
-13 => 3 0.428571428571
-13 => 2 0.142857142857
-13 => 14 0.428571428571
0 2 => -5 0.25
0 2 => 0 0.5
0 2 => 4 0.25
-1 7 => 2 1.0
21 0 => 4 1.0
11 -7 => -17 0.5
11 -7 => -3 0.5
-17 14 => 2 0.2
-17 14 => -17 0.8
-7 => -1 0.0666666666667
-7 => -3 0.133333333333
-7 => 17 0.133333333333
-7 => -10 0.0333333333333
-7 => 19 0.0666666666667
-7 => 16 0.0333333333333
-7 => 0 0.0333333333333
-7 => 2 0.0333333333333
-7 => 5 0.0333333333333
-7 => -17 0.266666666667
-7 => -2 0.1
-7 => 9 0.0333333333333
-7 => 8 0.0333333333333
14 12 => -13 1.0
10 3 => -19 0.5
10 3 => 6 0.5
-10 5 => -22 1.0
-27 -8 => -3 1.0
17 -1 => -3 1.0
12 -7 => -10 1.0
9 4 => 14 1.0
-7 5 => 4 1.0
-17 -1 => 2 0.333333333333
-17 -1 => 7 0.333333333333
-17 -1 => -17 0.333333333333
0 -24 => 12 0.5
0 -24 => -1 0.25
0 -24 => -12 0.25
-2 5 2 => 19 1.0
-8 -17 => 7 1.0
5 16 => 2 1.0
10 2 => -20 1.0
0 5 => 9 0.666666666667
0 5 => 23 0.333333333333
-12 -29 => -3 1.0
4 -1 => 2 0.5
4 -1 => -17 0.5
17 16 => 7 1.0
23 9 => 12 1.0
19 5 => 21 0.5
19 5 => -22 0.5
-26 => 24 0.333333333333
-26 => -10 0.666666666667
21 0 4 => 16 1.0
-20 16 -8 => -3 1.0
20 -17 => 8 0.5
20 -17 => 17 0.5
22 7 => 19 1.0
16 12 16 => 5 1.0
-5 -7 => 0 1.0
2 17 => 9 1.0
27 6 => 22 1.0
9 2 5 => 16 1.0
-12 -8 -5 => -12 1.0
-7 2 => 14 1.0
129 5 => 7 1.0
-13 3 => 8 1.0
16 => 11 0.0222222222222
16 => 13 0.0444444444444
16 => 12 0.0888888888889
16 => 20 0.0222222222222
16 => 14 0.0444444444444
16 => 17 0.0666666666667
16 => 19 0.0888888888889
16 => -24 0.0444444444444
16 => -5 0.0222222222222
16 => 0 0.0666666666667
16 => -7 0.0444444444444
16 => 2 0.0666666666667
16 => 5 0.0222222222222
16 => 4 0.0222222222222
16 => 7 0.0888888888889
16 => 129 0.0222222222222
16 => 15 0.0222222222222
16 => -8 0.155555555556
16 => -3 0.0444444444444
-1 => 15 0.0416666666667
-1 => 14 0.125
-1 => 17 0.0416666666667
-1 => -19 0.0416666666667
-1 => -21 0.0416666666667
-1 => -23 0.0416666666667
-1 => 0 0.125
-1 => -7 0.0833333333333
-1 => 2 0.125
-1 => 5 0.0416666666667
-1 => -17 0.125
-1 => -16 0.0416666666667
-1 => 7 0.0416666666667
-1 => -18 0.0416666666667
-1 => -3 0.0416666666667
8 15 => 4 1.0
2 -22 => 14 0.5
2 -22 => 16 0.5
-1 15 => -9 1.0
-14 3 => 27 1.0
11 => 12 0.0869565217391
11 => 15 0.0869565217391
11 => -3 0.0434782608696
11 => 17 0.0869565217391
11 => 23 0.0434782608696
11 => 0 0.0434782608696
11 => -7 0.0869565217391
11 => -1 0.0434782608696
11 => 4 0.0434782608696
11 => -17 0.304347826087
11 => 14 0.130434782609
25 => 9 1.0
5 -19 => 9 1.0
-5 => 24 0.0666666666667
-5 => 12 0.0333333333333
-5 => 7 0.0333333333333
-5 => 3 0.0333333333333
-5 => 0 0.533333333333
-5 => -7 0.0333333333333
-5 => -12 0.0333333333333
-5 => 5 0.0333333333333
-5 => -17 0.1
-5 => -2 0.0333333333333
-5 => 14 0.0666666666667
-8 => -5 0.761904761905
-8 => 12 0.047619047619
-8 => -3 0.0952380952381
-8 => 7 0.047619047619
-8 => -17 0.047619047619
-10 -17 => 14 0.5
-10 -17 => -3 0.5
16 17 => -7 0.333333333333
16 17 => 2 0.333333333333
16 17 => 16 0.333333333333
18 => 4 0.5
18 => 6 0.5
5 -7 => 8 1.0
-2 22 => 3 1.0
21 13 => 16 1.0
-17 11 => -7 0.166666666667
-17 11 => -17 0.666666666667
-17 11 => -3 0.166666666667
-4 8 => -1 1.0
24 2 5 => 26 1.0
-17 => -29 0.0384615384615
-17 => 0 0.0128205128205
-17 => 2 0.0384615384615
-17 => 5 0.128205128205
-17 => 4 0.0128205128205
-17 => 7 0.0384615384615
-17 => 9 0.0512820512821
-17 => 8 0.0384615384615
-17 => -10 0.025641025641
-17 => -12 0.0384615384615
-17 => 21 0.0128205128205
-17 => 11 0.0769230769231
-17 => 12 0.0384615384615
-17 => 15 0.0128205128205
-17 => 14 0.0641025641026
-17 => 17 0.0512820512821
-17 => 16 0.0512820512821
-17 => -5 0.025641025641
-17 => -7 0.0897435897436
-17 => -1 0.0384615384615
-17 => -3 0.102564102564
-17 => -8 0.0128205128205
21 9 => -6 0.5
21 9 => 14 0.5
-17 -12 => 4 0.333333333333
-17 -12 => -17 0.333333333333
-17 -12 => -29 0.333333333333
0 12 => -15 0.5
0 12 => 5 0.5
11 14 => -19 0.333333333333
11 14 => 5 0.333333333333
11 14 => 17 0.333333333333
24 12 => 4 1.0
8 -17 => 5 1.0
13 16 => 13 1.0
24 17 => 7 1.0
19 10 => 22 1.0
18 6 => -1 1.0
7 19 => 10 0.5
7 19 => 12 0.5
-1 -7 => -1 1.0
24 0 4 => 19 1.0
11 -1 => 17 1.0
14 0 => -22 0.5
14 0 => 16 0.5
5 2 5 => 11 1.0
-29 => 26 0.0769230769231
-29 => 12 0.0769230769231
-29 => 14 0.307692307692
-29 => -17 0.153846153846
-29 => 0 0.153846153846
-29 => -3 0.153846153846
-29 => -8 0.0769230769231
14 2 5 => 12 1.0
-2 10 => 3 1.0
14 -17 => 11 0.125
14 -17 => 17 0.125
14 -17 => 2 0.25
14 -17 => 5 0.125
14 -17 => -3 0.125
14 -17 => 9 0.25
14 10 => 14 1.0
10 24 => 14 1.0
-19 => 9 0.333333333333
-19 => 15 0.333333333333
-19 => 14 0.166666666667
-19 => 22 0.166666666667
-29 -3 -17 => 9 1.0
3 6 => 9 0.5
3 6 => -9 0.5
7 => 24 0.063829787234
7 => 10 0.063829787234
7 => 12 0.297872340426
7 => 14 0.0851063829787
7 => 16 0.063829787234
7 => 19 0.0425531914894
7 => 2 0.0212765957447
7 => -4 0.0212765957447
7 => -7 0.0212765957447
7 => -12 0.063829787234
7 => -1 0.0212765957447
7 => 4 0.0425531914894
7 => -17 0.0851063829787
7 => 11 0.0212765957447
7 => 5 0.063829787234
7 => -8 0.0212765957447
24 0 => 4 1.0
10 14 => 5 1.0
-19 9 => 0 0.5
-19 9 => -3 0.5
15 129 => 18 1.0
2 12 => -29 1.0
14 -3 => -7 0.5
14 -3 => -29 0.5
-6 -2 => 3 1.0
-22 => -7 0.25
-22 => 22 0.125
-22 => 14 0.125
-22 => 17 0.25
-22 => 16 0.25
9 13 => 21 0.5
9 13 => 14 0.5
7 12 => -24 0.0714285714286
7 12 => -12 0.0714285714286
7 12 => 4 0.142857142857
7 12 => 7 0.285714285714
7 12 => 16 0.428571428571
-29 0 => -17 1.0
5 10 => 24 1.0
8 10 => -5 1.0
-12 -17 => 11 1.0
17 0 => -24 0.5
17 0 => 12 0.5
17 14 => 9 0.666666666667
17 14 => 11 0.333333333333
4 => 25 0.0416666666667
4 => 12 0.104166666667
4 => 14 0.0208333333333
4 => 16 0.0416666666667
4 => -24 0.166666666667
4 => -20 0.0208333333333
4 => -27 0.0208333333333
4 => 28 0.0208333333333
4 => 7 0.270833333333
4 => -5 0.0208333333333
4 => 0 0.0625
4 => -1 0.0416666666667
4 => -12 0.0208333333333
4 => 5 0.0416666666667
4 => -14 0.0208333333333
4 => -17 0.0208333333333
4 => 19 0.0208333333333
4 => 8 0.0208333333333
4 => -8 0.0208333333333
-7 -17 => 14 0.125
-7 -17 => 16 0.125
-7 -17 => -10 0.125
-7 -17 => 5 0.125
-7 -17 => -3 0.375
-7 -17 => 9 0.125
11 17 => 12 0.5
11 17 => 16 0.5
12 0 4 => 0 1.0
22 3 => 19 1.0
7 -7 => 5 1.0
-13 2 => -13 1.0
21 -3 => 0 1.0
2 19 => -26 1.0
-7 -3 => 12 0.25
-7 -3 => 2 0.25
-7 -3 => 17 0.25
-7 -3 => 16 0.25
8 5 => 11 1.0
15 => 26 0.0526315789474
15 => 14 0.0526315789474
15 => 17 0.0526315789474
15 => 18 0.0526315789474
15 => 3 0.157894736842
15 => -6 0.0526315789474
15 => -1 0.263157894737
15 => 4 0.105263157895
15 => -2 0.105263157895
15 => 129 0.0526315789474
15 => -9 0.0526315789474
9 129 => -7 1.0
21 => 13 0.0714285714286
21 => -17 0.0714285714286
21 => 16 0.0714285714286
21 => 0 0.0714285714286
21 => 2 0.142857142857
21 => 5 0.142857142857
21 => 4 0.0714285714286
21 => -3 0.0714285714286
21 => 9 0.142857142857
21 => -8 0.142857142857
-4 => 11 0.111111111111
-4 => 27 0.111111111111
-4 => 15 0.222222222222
-4 => 2 0.222222222222
-4 => 4 0.111111111111
-4 => -2 0.111111111111
-4 => 8 0.111111111111
3 -24 => 21 1.0
-7 8 => -4 1.0
21 16 => 13 1.0
31 -12 => -1 1.0
-24 31 => 16 1.0
-7 -10 => -3 1.0
-1 17 => 0 1.0
-5 -12 => 0 1.0
15 -9 => -4 1.0
-20 16 => -8 1.0
-2 5 => 2 1.0
5 14 => 10 0.333333333333
5 14 => -17 0.333333333333
5 14 => 16 0.333333333333
16 -3 => -7 0.5
16 -3 => -17 0.5
-10 14 => -1 1.0
-24 12 => 9 0.25
-24 12 => 129 0.5
-24 12 => -8 0.25
16 11 => 17 1.0
-17 9 => 129 0.25
-17 9 => -17 0.75
2 -10 => 14 1.0
14 3 => 17 1.0
16 129 => -24 1.0
-2 24 => 2 1.0
-4 15 => -1 0.5
-4 15 => -2 0.5
-17 17 => 14 0.25
-17 17 => -17 0.5
-17 17 => 23 0.25
-12 => 11 0.0666666666667
-12 => 12 0.133333333333
-12 => -29 0.133333333333
-12 => 16 0.0666666666667
-12 => -17 0.0666666666667
-12 => 0 0.133333333333
-12 => -1 0.133333333333
-12 => 4 0.133333333333
-12 => 7 0.0666666666667
-12 => -8 0.0666666666667
12 -12 => 16 1.0
-17 8 => -5 0.333333333333
-17 8 => 20 0.333333333333
-17 8 => -17 0.333333333333
14 17 => 19 0.25
14 17 => 0 0.25
14 17 => -7 0.25
14 17 => 26 0.25
-12 16 => 0 1.0
-17 -10 => -29 0.5
-17 -10 => -17 0.5
19 24 => 28 1.0
24 14 => 17 1.0
3 => 27 0.0588235294118
3 => 15 0.0588235294118
3 => 17 0.0588235294118
3 => 22 0.0588235294118
3 => 19 0.0588235294118
3 => -26 0.0588235294118
3 => -2 0.0588235294118
3 => -24 0.0588235294118
3 => -13 0.176470588235
3 => 6 0.117647058824
3 => -19 0.0588235294118
3 => 8 0.176470588235
13 14 => 0 0.5
13 14 => 7 0.5
21 2 => 5 0.5
21 2 => 21 0.5
7 24 => -5 0.333333333333
7 24 => 12 0.666666666667
19 12 => -24 0.5
19 12 => 16 0.5
9 21 => 13 1.0
-19 15 => -1 1.0
9 -8 -5 => 14 1.0
-5 -12 0 => 4 1.0
11 -3 => -5 1.0
-3 9 => -12 1.0
15 3 => -13 0.666666666667
15 3 => -2 0.333333333333
23 16 => 15 1.0
5 23 => 9 1.0
-7 17 => -1 0.25
-7 17 => 14 0.5
-7 17 => -3 0.25
10 22 => -4 0.5
10 22 => -2 0.5
17 9 => -5 1.0
0 => 12 0.0384615384615
0 => 14 0.0576923076923
0 => 23 0.0576923076923
0 => -24 0.0769230769231
0 => 31 0.0192307692308
0 => 16 0.0384615384615
0 => -15 0.0192307692308
0 => -22 0.0384615384615
0 => -17 0.0576923076923
0 => 2 0.0769230769231
0 => -1 0.0192307692308
0 => 4 0.346153846154
0 => 7 0.0384615384615
0 => 5 0.0576923076923
0 => -3 0.0192307692308
0 => -12 0.0384615384615
-3 17 => 2 1.0
21 -17 => 21 1.0
14 5 2 => 8 0.5
14 5 2 => -29 0.5
-22 17 => -10 0.5
-22 17 => -7 0.5
17 23 => 11 1.0
5 -17 => 11 0.142857142857
5 -17 => 14 0.142857142857
5 -17 => 16 0.142857142857
5 -17 => 0 0.142857142857
5 -17 => -12 0.142857142857
5 -17 => 5 0.142857142857
5 -17 => 8 0.142857142857
6 -9 => 6 1.0
19 7 => 10 0.333333333333
19 7 => 5 0.666666666667
2 14 => -1 0.333333333333
2 14 => 7 0.333333333333
2 14 => -3 0.333333333333
11 0 => 12 1.0
14 -1 => -18 0.5
14 -1 => -21 0.5
-27 => -8 1.0
14 -4 => 2 1.0
-15 21 => -3 1.0
7 10 => 2 0.333333333333
7 10 => 22 0.333333333333
7 10 => -22 0.333333333333
5 12 => 19 0.5
5 12 => 8 0.5
-7 0 => -12 1.0
-12 11 => -7 1.0
4 -5 => 5 1.0
17 -17 => 8 0.333333333333
17 -17 => 5 0.333333333333
17 -17 => -3 0.333333333333
-14 0 => 16 1.0
5 7 => 11 0.25
5 7 => 10 0.25
5 7 => 14 0.5
22 14 => 28 1.0
-1 -17 => 5 0.333333333333
-1 -17 => -1 0.666666666667
15 -2 => 15 0.5
15 -2 => 14 0.5
15 4 => -24 0.5
15 4 => -14 0.5
-21 -1 => 15 1.0
-9 8 => 5 1.0
-7 -1 => 14 1.0
8 -5 => -17 1.0
16 4 => 12 1.0
10 => 24 0.0909090909091
10 => 15 0.0909090909091
10 => 14 0.0909090909091
10 => 22 0.181818181818
10 => 28 0.0909090909091
10 => -22 0.0909090909091
10 => -5 0.0909090909091
10 => 3 0.181818181818
10 => 2 0.0909090909091
26 => 10 0.25
26 => -9 0.25
26 => 22 0.25
26 => 8 0.25
-13 14 => 129 0.333333333333
-13 14 => -13 0.333333333333
-13 14 => 5 0.333333333333
16 14 => -7 0.5
16 14 => 13 0.5
14 -19 => 14 1.0
-29 -17 => -7 0.5
-29 -17 => 12 0.5
12 0 => -15 0.5
12 0 => 4 0.5
23 15 => 129 1.0
11 4 => -24 1.0
15 17 => -17 1.0
6 => 9 0.2
6 => -1 0.2
6 => -9 0.2
6 => 22 0.2
6 => 10 0.2
-17 0 => -17 1.0
-17 7 => -17 1.0
-8 7 => 4 1.0
-3 3 => 6 1.0
13 19 => -10 1.0
-29 -3 => 9 0.5
-29 -3 => -17 0.5
8 -10 => -17 1.0
7 -17 => -5 0.25
7 -17 => -7 0.25
7 -17 => -12 0.25
7 -17 => 16 0.25
-16 => 15 1.0
17 -9 => 8 1.0
2 -3 => -5 0.5
2 -3 => -29 0.5
16 7 => 19 0.25
16 7 => 12 0.25
16 7 => 14 0.5
16 13 => 19 1.0
17 2 => 5 0.5
17 2 => -3 0.5
5 9 => 11 0.125
5 9 => 13 0.125
5 9 => 12 0.25
5 9 => 14 0.375
5 9 => -17 0.125
-8 -3 => 1 1.0
-17 15 => 17 1.0
12 17 => 11 1.0
-2 15 => -6 0.5
-2 15 => -1 0.5
-17 5 => 2 0.2
-17 5 => 14 0.1
-17 5 => -17 0.7
14 15 => 3 1.0
26 22 => 14 1.0
0 16 => -5 0.5
0 16 => 11 0.5
12 24 => 17 1.0
-3 0 => 2 0.25
-3 0 => 5 0.75
12 4 => -24 0.75
12 4 => 0 0.25
-1 2 => 4 0.666666666667
-1 2 => -3 0.333333333333
9 -3 => 0 1.0
5 0 => 7 1.0
-17 4 => -17 1.0
9 23 => 15 1.0
24 2 => 5 1.0
12 5 => 2 0.333333333333
12 5 => 17 0.333333333333
12 5 => 16 0.333333333333
2 -19 => 22 1.0
5 17 => 5 1.0
4 16 => 4 0.5
4 16 => 7 0.5
-5 3 => -26 1.0
-23 => 5 1.0
2 -29 => 0 1.0
9 0 => -3 1.0
-7 9 => -17 1.0
2 0 => -24 0.5
2 0 => -12 0.5
-5 24 => 0 0.5
-5 24 => -2 0.5
10 15 => 18 1.0
5 2 => 13 0.111111111111
5 2 => 12 0.111111111111
5 2 => -29 0.111111111111
5 2 => 17 0.111111111111
5 2 => 19 0.111111111111
5 2 => -22 0.111111111111
5 2 => 5 0.222222222222
5 2 => 8 0.111111111111
21 5 2 => 17 1.0
5 => 11 0.0689655172414
5 => 10 0.0172413793103
5 => 26 0.0172413793103
5 => 12 0.0344827586207
5 => 21 0.0344827586207
5 => 17 0.0344827586207
5 => 16 0.051724137931
5 => 23 0.0172413793103
5 => -19 0.0344827586207
5 => -22 0.051724137931
5 => -4 0.0172413793103
5 => 0 0.0172413793103
5 => -7 0.0172413793103
5 => 2 0.155172413793
5 => -15 0.0172413793103
5 => 4 0.0172413793103
5 => 7 0.0689655172414
5 => -17 0.120689655172
5 => 9 0.137931034483
5 => 8 0.0172413793103
5 => 14 0.051724137931
9 -8 => -5 1.0
12 7 => 10 0.142857142857
12 7 => 12 0.571428571429
12 7 => -1 0.142857142857
12 7 => 16 0.142857142857
-24 => 12 0.210526315789
-24 => 21 0.210526315789
-24 => 16 0.263157894737
-24 => 31 0.0526315789474
-24 => -12 0.0526315789474
-24 => -1 0.0526315789474
-24 => 7 0.0526315789474
-24 => -8 0.105263157895
14 -7 => 17 1.0
7 16 => 12 0.333333333333
7 16 => 14 0.333333333333
7 16 => 17 0.333333333333
-5 5 => 0 1.0
12 8 => 10 1.0
14 => 28 0.0188679245283
14 => 0 0.0377358490566
14 => 3 0.0188679245283
14 => 2 0.0566037735849
14 => 5 0.0754716981132
14 => 7 0.0377358490566
14 => 9 0.0754716981132
14 => -13 0.0188679245283
14 => -17 0.150943396226
14 => -19 0.0188679245283
14 => 129 0.0377358490566
14 => 11 0.0566037735849
14 => 10 0.0188679245283
14 => 13 0.0188679245283
14 => 12 0.0377358490566
14 => 15 0.0377358490566
14 => 17 0.0754716981132
14 => 16 0.0566037735849
14 => -4 0.0377358490566
14 => -7 0.0377358490566
14 => -1 0.0377358490566
14 => -3 0.0377358490566
24 -5 => 12 1.0
22 => 14 0.125
22 => -4 0.125
22 => -10 0.125
22 => 3 0.125
22 => -6 0.125
22 => 7 0.125
22 => -2 0.125
22 => 2 0.125
3 19 => 7 1.0
2 => 13 0.0232558139535
2 => 12 0.0232558139535
2 => -29 0.0232558139535
2 => 17 0.0232558139535
2 => -10 0.0232558139535
2 => 19 0.0232558139535
2 => -20 0.0232558139535
2 => 21 0.0232558139535
2 => -22 0.046511627907
2 => -5 0.0232558139535
2 => 0 0.046511627907
2 => -13 0.0232558139535
2 => 5 0.325581395349
2 => 4 0.093023255814
2 => -17 0.0697674418605
2 => -19 0.0232558139535
2 => 8 0.046511627907
2 => -3 0.046511627907
2 => 14 0.0697674418605
129 => 16 0.125
129 => -24 0.125
129 => 18 0.125
129 => -7 0.125
129 => 5 0.125
129 => 4 0.125
129 => -8 0.25
12 9 => 4 0.5
12 9 => -8 0.5
-20 5 => -4 1.0
31 16 => -8 1.0
-5 7 => -7 1.0
2 4 => 5 0.5
