-5|4.-8	4|-5.4.-8	1.0
0|-12.0.-19.2	-19|	1.0
7|-8	-5|7	0.5
7|-8	-8|7	0.25
7|-8	-20|	0.25
4|0	-8|	1.0
2|-15	-15|2	0.5
2|-15	-17|	0.5
-3|-22	-19|-3	1.0
-15|2	4|-15	1.0
4|7	-1|4	1.0
-10|-1.-17	4|-10.-1.-17	0.5
-17|7	2|	1.0
-16|	-7|	1.0
4|-8	-5|4.-8	1.0
4|-8	-17|	0.166666666667
4|-8	-12|4.-8	0.5
4|-8	0|4	0.166666666667
4|-8	-15|	0.166666666667
2|-3	-10|2	0.5
2|-3	-22|	0.5
-3|0	0|-3	1.0
-3|2	2|-3	0.5
-3|2	-1|-3	0.5
7|9	4|7	1.0
-19|	2|-19	1.0
-19|	-3|	0.1
-19|	0|-19	1.0
-19|	5|	0.3
-1|-20	-13|	0.714285714286
-1|-20	-8|	0.142857142857
-1|-20	-10|-1	0.142857142857
7|	-17|7	1.0
7|	-10|7	0.5
7|	-3|7	1.0
7|	-5|7	1.0
7|	-8|7	0.333333333333
7|	-12|7	1.0
7|	-20|	0.0625
7|	4|7	1.0
-12|7	7|-12	1.0
4|-13	-1|4	0.5
4|-13	-20|	0.5
-10|7	7|-10	0.5
-10|7	2|	0.5
4|-10.4	-17|	0.666666666667
4|-10.4	-15|	0.333333333333
0|-3	-8|	1.0
12|	-12|12	1.0
-5|	0|-5	0.25
-5|	7|	0.176470588235
-5|	4|-5	0.0555555555556
-5|	-1|-5	0.5
-5|	-13|	0.0294117647059
-5|	2|-5	1.0
-5|	-12|-5	1.0
2|-1	-17|	1.0
-1|-13	-22|	0.2
-1|-13	-3|-1	0.2
-1|-13	-20|	0.6
4|-17	-1|4	0.142857142857
4|-17	-12|4	0.142857142857
4|-17	-17|	0.142857142857
4|-17	-8|	0.142857142857
4|-17	-10|4	0.285714285714
4|-17	-19|	0.142857142857
4|	-1|4	0.25
4|	-5|4	0.0555555555556
4|	-8|	0.0394736842105
4|	-17|	0.131578947368
4|	-12|4	0.15
4|	-10|4	0.3
4|	-20|	0.0263157894737
4|	0|4	1.0
4|	-19|	0.0263157894737
4|	-22|	0.0131578947368
4|	-15|	0.0657894736842
4|-5.2	-10|4	1.0
7|-3	-10|7	1.0
-5|2	4|-5.2	1.0
-19|2	0|-19.2	1.0
-10|	-1|-10	0.666666666667
-10|	4|-10	0.214285714286
-10|	7|-10	1.0
-10|	2|	0.25
-1|-5	-8|	0.5
-1|-5	-3|-1	0.5
0|-8	-5|0	0.333333333333
0|-8	-8|0.-8	1.0
-8|0.-8	7|-8	1.0
-3|-12	-12|-3	1.0
4|-5.4.-8	-8|	1.0
-5|-17	-12|-5	1.0
-4|	-12|	0.5
-4|	0|-4	1.0
-5|-20	-13|	1.0
5|	-19|	0.142857142857
5|	-12|5	0.2
5|	-3|5	1.0
5|-3	-3|5	1.0
4|-5.0	-15|	1.0
0|-12.0.-12	-8|	0.5
0|-12.0.-12	-17|0	0.5
-5|4.-5	7|	1.0
-12|4.-8	0|-12	0.5
-12|4.-8	-1|-12	0.5
-1|-10	-10|-1	0.666666666667
-1|-10	-17|-1	0.333333333333
-12|5	0|-12	0.2
-12|5	4|-12	0.4
-12|5	5|	0.4
7|-10	-3|7	1.0
-12|-1	4|-12	1.0
-13|	-1|-13	0.6
-13|	4|-13	0.5
-12|-5	0|-12.-5	1.0
-5|-1	-1|-5	0.666666666667
-5|-1	4|-5	0.333333333333
4|-10.-1.-17	-10|4	0.5
4|-10.-1.-17	-19|	0.5
4|-5.4.-10	-10|4	0.5
4|-5.4.-10	-5|4.-5	0.5
4|-10	-1|4	0.0714285714286
4|-10	-12|4	0.0714285714286
4|-10	-17|	0.214285714286
4|-10	-5|4.-10	0.333333333333
4|-10	-10|4	0.285714285714
4|-10	-19|	0.0714285714286
4|-10	-15|	0.0714285714286
-7|	2|-7	1.0
-7|	-4|	0.5
-5|0	0|-5	0.8
-5|0	4|-5.0	1.0
2|	-3|2	0.5
2|	-19|2	1.0
2|	-5|2	1.0
2|	-1|2	1.0
2|	-10|2	0.222222222222
2|	-17|	0.24
2|	-15|2	1.0
2|	-22|	0.08
-3|-1	2|-3	0.5
-3|-1	7|-3	0.5
-12|0.-12	4|-12.0	0.333333333333
-12|0.-12	0|-12.0.-12	0.5
-3|7	5|-3	1.0
-1|2	2|-1	1.0
-10|2	4|-10.2	0.4
-10|2	2|	0.222222222222
-10|2	-1|-10	0.222222222222
-5|4.-10	4|-5.4.-10	0.5
-5|4.-10	2|-5	0.333333333333
-17|0	0|-17	1.0
-12|4	0|-12	0.15
-12|4	7|-12	0.05
-12|4	-1|-12	0.05
-12|4	4|-12	0.75
-12|	11|	0.0204081632653
-12|	7|-12	0.5
-12|	-1|-12	1.0
-12|	0|-12	0.117647058824
-12|	12|	0.0204081632653
-12|	-4|	0.0204081632653
-12|	-3|-12	1.0
-12|	4|-12	0.65
-12|	5|	0.0612244897959
-1|-17	-8|	0.25
-1|-17	-10|-1.-17	1.0
-1|-17	-5|-1	0.25
-17|4.-12.0	-5|-17	1.0
-10|4	2|	0.3
-10|4	4|-10.4	0.333333333333
-10|4	-1|-10	0.4
-1|4	4|-1	0.5
-1|4	-8|	0.25
-1|4	-12|-1	0.25
-19|-3	2|-19	1.0
-12|0.-19.2	0|-12.0.-19.2	1.0
-22|	2|-22	0.5
-22|	4|-22	1.0
-22|	-3|-22	1.0
-12|12	11|	1.0
7|-12	-12|7	0.5
7|-12	-17|7	0.5
0|-12.-5	-15|	1.0
-1|-12	-12|-1	1.0
0|-4	-16|	1.0
-15|	-3|	0.1
-15|	4|-15	0.25
-15|	2|-15	0.5
-15|	0|-15	0.666666666667
