12 -12 => 0 1.0
-19 -3 => -27 1.0
-17 7 => 12 0.142857142857
-17 7 => -27 0.285714285714
-17 7 => -32 0.142857142857
-17 7 => 0 0.142857142857
-17 7 => -17 0.142857142857
-17 7 => 9 0.142857142857
-10 3 => -24 1.0
3 -3 => -29 1.0
10 0 => -36 1.0
129 5 => 2 1.0
5 -24 => 3 1.0
16 => 12 0.1
16 => -29 0.2
16 => -24 0.2
16 => -20 0.2
16 => -19 0.1
16 => -18 0.1
16 => 21 0.1
20 -27 => 19 1.0
-1 => 0 0.333333333333
-1 => -20 0.333333333333
-1 => -17 0.333333333333
-15 12 => -29 1.0
-5 7 => 21 1.0
-19 0 => -27 1.0
12 -32 => 0 0.25
12 -32 => -20 0.5
12 -32 => 7 0.25
-12 7 -27 => 12 0.333333333333
-12 7 -27 => -15 0.333333333333
-12 7 -27 => 4 0.333333333333
6 -36 => 4 0.5
6 -36 => 7 0.5
-12 9 => -27 1.0
11 -22 => 9 0.5
11 -22 => 7 0.5
12 -19 => -30 1.0
10 9 => 7 1.0
11 => 12 0.133333333333
11 => 14 0.0666666666667
11 => -24 0.4
11 => -21 0.0666666666667
11 => -31 0.0666666666667
11 => 0 0.0666666666667
11 => 2 0.0666666666667
11 => -22 0.133333333333
-3 -21 => 5 1.0
21 -15 -24 => 21 1.0
-8 => -24 0.470588235294
-8 => -31 0.0588235294118
-8 => -5 0.0588235294118
-8 => 0 0.235294117647
-8 => -17 0.117647058824
-8 => 6 0.0588235294118
20 -22 => 19 1.0
3 7 -29 => -17 1.0
16 21 => -32 1.0
-31 11 => 2 1.0
-3 -34 => 9 1.0
0 -32 => 9 0.210526315789
0 -32 => 3 0.157894736842
0 -32 => 2 0.0526315789474
0 -32 => -20 0.578947368421
0 -36 => -24 0.2
0 -36 => 11 0.2
0 -36 => 3 0.4
0 -36 => 10 0.2
9 3 => 7 1.0
129 -5 => 129 1.0
0 -31 => 9 0.555555555556
0 -31 => 0 0.222222222222
0 -31 => 3 0.222222222222
3 -29 => -17 1.0
7 -29 => 5 0.545454545455
7 -29 => 4 0.272727272727
7 -29 => -17 0.181818181818
20 16 => 21 1.0
-17 => 6 0.044776119403
-17 => 12 0.044776119403
-17 => 20 0.0149253731343
-17 => -3 0.0149253731343
-17 => 0 0.0597014925373
-17 => 21 0.0149253731343
-17 => -27 0.253731343284
-17 => -21 0.0597014925373
-17 => -32 0.0149253731343
-17 => -5 0.0597014925373
-17 => -4 0.0149253731343
-17 => -7 0.0149253731343
-17 => 5 0.0746268656716
-17 => 4 0.0298507462687
-17 => 7 0.10447761194
-17 => -16 0.0149253731343
-17 => 9 0.0149253731343
-17 => -8 0.0298507462687
-17 => 3 0.119402985075
3 9 => -17 1.0
7 -29 -17 => 3 1.0
-21 21 => 20 0.5
-21 21 => -22 0.5
-8 6 => 5 1.0
-4 -3 => -24 0.111111111111
-4 -3 => -34 0.222222222222
-4 -3 => -29 0.444444444444
-4 -3 => -31 0.111111111111
-4 -3 => -21 0.111111111111
-19 4 => -36 1.0
-29 3 7 => 9 0.2
-29 3 7 => -3 0.8
-31 3 => -19 0.5
-31 3 => 2 0.5
-17 20 => 16 1.0
4 -29 => -24 1.0
-16 9 => 129 1.0
7 -32 => 5 0.3
7 -32 => 13 0.05
7 -32 => -20 0.1
7 -32 => 4 0.4
7 -32 => 7 0.15
-17 7 0 => 5 1.0
-29 => 13 0.015873015873
-29 => 12 0.015873015873
-29 => 7 0.126984126984
-29 => 17 0.015873015873
-29 => -24 0.015873015873
-29 => -5 0.015873015873
-29 => 0 0.0793650793651
-29 => 3 0.0952380952381
-29 => 2 0.015873015873
-29 => 5 0.0952380952381
-29 => 4 0.047619047619
-29 => -17 0.412698412698
-29 => -9 0.031746031746
-29 => 21 0.015873015873
-29 -9 => 0 1.0
-19 => -3 0.0769230769231
-19 => 16 0.0769230769231
-19 => -36 0.153846153846
