melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,branchiness_variance,melodic_mean,unweighted_abruptness,labels
0.312700287,7,3.575049852,27,9,3.350649351,4.181818182,5.914994097,1.805194805,1,Classical
0.479289941,9,6.661031276,21,12,1.115384615,3.230769231,2.485207101,1.538461538,12,Classical
0.616624548,21,38.53127225,24,3,3.619834711,3.752066116,3.062495731,2.140495868,1,Classical
0.299039781,9,6.213488976,22,2,3.345679012,3.975308642,4.295686633,1.814814815,10,Classical
0.249433107,5,1.875432526,14,3,1.904761905,4.380952381,4.616780045,1.476190476,3,Classical
0.309374552,16,21.33098565,54,24,5.599277978,3.985559567,4.404123604,1.931407942,2,Classical
0.480661157,4,0.866961234,33,3,1.654545455,3.527272727,3.594710744,1.654545455,1,Classical
0.650376331,14,17.26242429,26,5,6.473846154,4.473846154,6.969315976,2.390769231,2,Classical
0.507936508,7,3.880599941,12,4,1.333333333,3.428571429,3.387755102,1.666666667,1,Classical
0.153523875,19,30.03098546,37,7,10.84090909,4.075757576,4.357897153,1.810606061,16,Classical
0.438983407,7,4.30271761,33,4,2.376811594,3.739130435,4.105860113,1.768115942,1,Classical
0.317221892,8,4.603005728,21,5,3.548780488,4.219512195,5.268887567,1.890243902,8,Classical
0.598639456,9,6.765257198,19,2,4.119047619,3.142857143,2.455782313,1.857142857,7,Classical
0.207612457,6,2.986225895,13,2,0.823529412,3.294117647,2.442906574,1.294117647,3,Classical
0.297783934,14,17.0472665,64,5,3.592105263,4.184210526,4.281855956,1.789473684,3,Classical
0.570037858,9,6.240703732,24,13,4.217054264,3.736434109,3.217354726,2.186046512,5,Classical
0.248888889,4,1,12,2,1.6,4,3.333333333,1.466666667,2,Classical
0.524673008,20,36.86310481,28,9,7.943573668,4.451410658,8.789958825,2.534482759,4,Classical
0.5,3,0.775510204,14,2,1.0625,3.25,3.0625,1.5,3,Classical
0,1,0,7,2,0,2,1.2,1,2,Classical
0.552549722,12,12.80641625,23,5,3.54368932,3.398058252,2.084268074,2.029126214,6,Classical
0.245249251,12,12.66436476,50,3,4.730941704,4.448430493,5.583663456,1.860986547,3,Classical
0.25,5,1.685232426,24,7,2.029411765,3.823529412,5.498269896,1.5,1,Classical
0.33984375,4.36,1.45,14,2,0.9375,2.875,2.609375,1.3125,5,Classical
0.387755102,2.45,0.409722222,12,2,1.428571429,3.285714286,2.632653061,1.428571429,1,Classical
0.529450229,10,9.553083408,36,7,2.929078014,3.943262411,3.769830491,2.04964539,7,Classical
0,0,0,2,1,0,1.333333333,0.222222222,1,1,Classical
0,1,0,8,3,0,3.333333333,1.222222222,1,6,Classical
0.380615234,16.45,23.56024884,21,4,2.40625,3.5625,3.33984375,1.796875,4,Classical
0.307957483,10,8.132574019,19,5,3.796610169,3.694915254,1.534041942,1.881355932,5,Classical
0.249770432,7,4.052406324,23,21,2.272727273,2.848484848,0.795224977,1.484848485,21,Classical
0.7875,2.3,0.382222222,12,2,1.15,3.5,1.35,1.75,4,Classical
0.569063985,20,36.16057496,36,9,5.339181287,3.83625731,3.353305291,2.099415205,16,Classical
0.171376807,8,5.941370694,68,17,13.67139175,4.99742268,13.29896243,2.003865979,14,Classical
0.204081633,2.55,0.45,12,7,1,3.285714286,1.489795918,1.285714286,1,Classical
0.26378816,10,7.566072296,22,3,3.142857143,3.61038961,3.120931017,1.753246753,5,Classical
0.2475,7,3.449586777,14,12,2.75,3.1,2.79,1.55,12,Classical
0.367040734,11,9.400767171,30,2,3.795275591,4.283464567,5.289726579,1.94488189,5,Classical
0.148760331,1.85,0.1875,12,1,0.727272727,2.727272727,1.289256198,1.181818182,2,Classical
0.440401176,30,76.87190734,46,1,4.927536232,4.15942029,6.083280823,2.094202899,5,Classical
0.604936563,12,12.20933487,29,2,5.305882353,4.125490196,4.619546328,2.423529412,3,Classical
0.168367347,1,0,12,1,0.714285714,3.428571429,1.102040816,1.214285714,3,Classical
0.386094675,17,23.68547527,17,3,2.673076923,3.807692308,4.347633136,1.807692308,5,Classical
0.291441066,8,5.373937153,75,1,2.954081633,4.010204082,4.367242815,1.724489796,3,Classical
0.490195752,12,11.5478773,25,3,4.473469388,4.473469388,7.579908372,2.179591837,2,Classical
0.387755102,3,0.779917355,10,1,0.642857143,3.571428571,2.959183673,1.428571429,2,Classical
0.281366985,13.77777778,15.7109048,24,7,4.296703297,4.065934066,3.709938413,1.934065934,3,Classical
0.324786325,10,7.577856626,19,1,2.564102564,3.58974359,2.652202498,1.666666667,3,Classical
0.402897239,9,6.347369439,19,12,3.361702128,4.085106383,3.950203712,1.744680851,8,Classical
0.365555556,6.3,3.412582825,15,3,1.633333333,3.666666667,2.022222222,1.633333333,4,Classical
0.381344307,7,3.934279869,16,2,1.518518519,3.481481481,2.545953361,1.62962963,3,Classical
0.229591837,4,1.289930556,12,3,1,3.428571429,1.959183673,1.357142857,3,Classical
0.389732779,8,5.761960137,27,3,4.700787402,4.330708661,5.544175088,2.062992126,4,Classical
0.244454504,18,28.67506455,22,2,3.063829787,3.531914894,2.54685378,1.574468085,7,Classical
0.331597222,9,7.122788286,17,4,3.333333333,3.583333333,2.201388889,1.791666667,4,Classical
0.212647929,19,29.18232205,22,8,5.240384615,3.980769231,4.153476331,1.865384615,3,Classical
0.571013344,12,12.2459903,29,4,3.896551724,4.32183908,7.919408112,2.195402299,4,Classical
0.234375,3,0.772022684,12,1,1.1875,3.875,4.359375,1.375,1,Classical
0.556815319,6,2.941320285,36,4,2.793650794,3.714285714,2.902494331,1.825396825,2,Classical
0.299970256,8,5.054654949,26,10,3.524390244,4.170731707,4.922070196,1.768292683,3,Classical
0.548819089,6,2.67968561,25,11,2.936936937,4.324324324,4.759678598,2.027027027,1,Classical
0.358024691,4,1.101474011,16,3,1.166666667,2.888888889,1.098765432,1.444444444,4,Classical
0.339100346,8.857142857,6.311747578,29,9,4.617647059,3.960784314,3.959246444,1.882352941,7,Classical
1.182817378,10,8.310481203,27,4,3.89516129,3.5,2.459677419,2.137096774,5,Classical
0.1875,3,0.506666667,14,4,0.666666667,3,2,1.25,2,Classical
0.228373702,4,1.193877551,14,7,1.235294118,3.176470588,1.674740484,1.352941176,7,Classical
0.36876657,21,36.95140918,36,5,8.039325843,3.382022472,1.910238606,1.95505618,5,Classical
0.301111923,15,19.20269273,43,3,4.36036036,3.693693694,4.392662933,1.738738739,3,Classical
0.731839514,10,7.914290618,29,6,4.109756098,3.902439024,3.974221693,2.422764228,3,Classical
0.193172649,9,7.471160708,46,12,9.818181818,5.034965035,12.46381241,2.02972028,5,Classical
0.252330971,5,2.010581179,26,4,4.04379562,4.306569343,5.234482391,1.897810219,9,Classical
0.21484375,4,1.428571429,15,2,0.8125,3.25,2.9375,1.3125,2,Classical
0.208367347,9,7.351855524,22,9,3.528571429,3.628571429,2.204897959,1.814285714,7,Classical
0.601800554,8.3,6.033132154,22,5,2.184210526,3.736842105,2.878116343,1.763157895,4,Classical
0.49905482,6,2.726590355,14,2,1.260869565,3.043478261,2.302457467,1.608695652,3,Classical
0.698979592,7,4.124255193,25,3,2.785714286,3.775510204,2.582257393,2.214285714,1,Classical
0.196323152,15,23.38539444,74,10,10.95962315,5.106325707,12.49878906,2.039030956,32,Classical
0.380615234,8,5.080626459,34,22,3.75,3.375,2.328125,1.796875,4,Classical
0.542207414,9,5.976730744,44,14,4.208163265,4.163265306,6.38967097,2.093877551,3,Classical
0.484375,2.55,0.44,17,2,1,2,2,1.375,2,Classical
0.249134948,5,1.96484375,12,2,1.764705882,3.411764706,2.595155709,1.470588235,5,Classical
0.401983471,6,3.212277083,40,2,3.509090909,3.836363636,3.77322314,1.872727273,3,Classical
0.231945108,8,5.08099159,51,8,9.194373402,4.792838875,9.407212145,2.028132992,18,Classical
0.148506824,11,10.23562957,67,20,13.63368056,4.809027778,11.75519628,1.949652778,29,Classical
0.6624,7,4.5,16,7,2.24,3.44,1.6864,1.76,5,Classical
0.265608741,14,16.55819188,30,2,2.467741935,3.35483871,2.196670135,1.629032258,2,Classical
0.507303994,18,26.58462036,41,4,5.836538462,4,4.653846154,2.201923077,6,Classical
0.242965825,12,12.7021677,22,8,5.461538462,4.417582418,4.375075474,1.901098901,14,Classical
0.524645727,10.8,9.841096867,29,6,3.967567568,4.086486486,4.889817385,2.145945946,2,Classical
0.543184183,4,1.062737454,14,2,1.709677419,3.483870968,2.378772112,1.806451613,2,Classical
0.138888889,2,0.204081633,14,3,0.416666667,3,1.666666667,1.166666667,1,Classical
0.281215736,7.4,4.608874069,28,9,4.688741722,4.397350993,6.279198281,1.940397351,1,Classical
0.364622769,7,3.69016228,26,9,4.645348837,4.476744186,4.877366144,2.040697674,1,Classical
0.4375,8,5.153950717,19,8,1.775,3.4,2.54,1.75,4,Classical
0.30859375,9,7.140541344,24,9,4.142857143,4.071428571,3.709183673,1.9375,2,Classical
0.444706994,10,7.624380628,17,2,2.565217391,3.391304348,2.064272212,1.891304348,9,Classical
0.706597222,10.36666667,8.280075051,12,1,1.958333333,2.666666667,1.388888889,1.708333333,1,Classical
0.462222222,7.829615385,4.544712445,21,5,4.933333333,3.2,1.226666667,1.733333333,12,Classical
0.354570637,8.042857143,5.433411193,14,1,1.473684211,3.368421053,2.232686981,1.526315789,7,Classical
0.332703214,6,2.909155556,10,2,1.47826087,3.391304348,3.281663516,1.565217391,2,Classical
