melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,pitch_between_rules,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.566537317,13,15.42617654,53,27,16.94534884,4.558139535,"[22, 28, 11, 32, 21, 26, 27, 27, 21, 22, 26, 21, 27, 20, 23, 31, 33, 15, 27, 30, 11, 24, 23, 32, 32, 32, 24, 30, 30, 35, 34, 34, 33, 32, 37, 20, 20, 21, 31, 29, 25, 12, 25, 14, 9, 21, 32, 24, 19, 20, 22, 4, 41, 30, 17, 32, 17, 7, 12, 30, 2, 8, 36, 3, 27, 36, 39, 33, 12, 31, 21, 29, 12, 5, 9, 17, 10, 11, 19, 6, 14, 20, 30, 12, 16, 28, 25, 4, 29, 29, 24, 40, 8, 16, 37, 4, 36, 39, 25, 7, 16, 12, 24, 17, 24, 24, 17, 19, 29, 30, 29, 14, 35, 14, 18, 3, 32, 36, 11, 5, 12, 27, 25, 2, 12, 9, 26, 24, 7, 3, 24, 32, 26, 7, 20, 27, 25, 17, 40, 19, 25, 30, 27, 21, 23, 29, 22, 16, 29, 16, 25, 19, 17, 21, 25, 35, 36, 29, 32, 27, 7, 29, 21, 14, 36, 36, 32, 34, 23, 17, 10, 5, 3, 4, 32, 25, 25, 33, 25, 24, 13, 9, 14, 21, 24, 20, 9, 15, 12, 24, 12, 19, 15, 31, 15, 30, 31, 12, 4, 10, 28, 10, 24, 33, 19, 28, 4, 32, 26, 14, 26, 31, 12, 17, 34, 12, 19, 26, 21, 25, 20, 29, 30, 23, 25, 25, 21, 32, 17, 34, 15, 28, 12, 23, 24, 21, 14, 5, 35, 16, 36, 21, 19, 25, 25, 37, 23, 18, 11, 29, 28, 24, 34, 24, 25, 16, 11, 13, 15, 2, 16, 38, 19, 29, 16, 16, 28, 16, 23, 30, 9, 24, 29, 28, 27, 38, 22, 20, 8, 29, 12, 29, 17, 29, 12, 12, 20, 12, 23, 14, 24, 24, 25, 17, 19, 27, 24, 24, 21, 25, 29, 32, 30, 21, 32, 25, 30, 29, 27, 19, 30, 25, 15, 16, 26, 21, 25, 16, 24, 17, 17, 17, 5, 14, 26, 5, 31, 21, 24, 24, 12, 25, 5, 18, 19, 19, 20, 21, 16, 11, 23, 8, 18, 16, 14, 27, 9, 16, 12, 12, 7, 20, 35, 17, 3, 5, 15, 25, 12, 17, 25, 14, 26, 1, 16, 6, 1, 34, 25, 27, 13, 26, 19, 23, 20, 27, 33, 16, 16, 7, 3, 15, 26, 14, 25, 14, 12, 15, 13, 32, 21, 5, 16, 25, 25, 9, 32, 7, 20, 34, 12, 18, 17, 8, 16, 27, 3, 7, 23, 31, 9, 29, 17, 15, 31, 34, 7, 25, 34, 7, 9, 20, 36, 19, 2, 7, 32, 26, 31, 2, 21, 36, 25, 14, 31, 24, 32, 24, 8, 32, 31, 15, 30, 30, 31, 28, 36, 27, 27, 16, 4, 14, 1, 36, 33, 7, 27, 27, 21, 36, 9, 27, 4, 8, 5, 29, 21, 5, 11, 9, 7, 18, 33, 28, 34, 34, 29, 32, 30, 24, 10, 30, 40, 22, 15, 17, 22, 18, 17, 28, 24, 17, 16, 4, 16, 9, 13, 11, 15, 29, 23, 30, 16, 24, 17, 22, 11, 14, 7, 28, 5, 32, 24, 16, 36, 30, 31, 17, 16, 34, 14, 7, 4, 9, 5, 17, 22, 19, 24, 20, 14, 16, 12, 12, 4, 20, 16, 22, 12, 27, 17, 31, 29, 31, 17, 33, 36, 33, 17, 34, 32, 27, 21, 22, 25, 5, 9, 30, 21, 25, 3, 27, 34, 24, 24, 17, 29, 35, 17, 9, 10, 31, 19, 19, 20, 20, 16, 20, 29, 17, 22, 15, 8, 23, 19, 25, 35, 13, 17, 35, 36, 30, 10, 14, 26, 2, 7, 24, 20, 23, 22, 12, 14, 29, 11, 7, 21, 34, 9, 11, 6, 3, 12, 6, 2, 21, 19, 7, 28, 29, 24, 25, 40, 8, 28, 36, 17, 9, 5, 21, 14, 27, 21, 29, 27, 25, 28, 25, 12, 23, 36, 12, 32, 32, 32, 32, 29, 27, 22, 31, 17, 3, 5, 1, 8, 28, 8, 19, 28, 26, 29, 32, 27, 13, 12, 12, 31, 31, 29, 5, 25, 20, 16, 24, 25, 18, 9, 8, 5, 35, 6, 12, 21, 27, 29, 12, 19, 30, 31, 20, 19, 12, 19, 28, 29, 24, 36, 10, 25, 32, 11, 28, 26, 9, 16, 35, 27, 36, 20, 12, 31, 32, 17, 20, 21, 24, 19, 24, 13, 17, 20, 30, 30, 14, 14, 14, 16, 16, 37, 34, 30, 27, 27, 30, 28, 9, 25, 25, 24, 36, 30, 25, 32, 31, 12, 31, 31, 25, 20, 12, 26, 29, 25, 13, 21, 19, 31, 27, 30, 17, 23, 16, 32, 27, 33, 25, 23, 38, 33, 21, 2, 17, 15, 23, 34, 27, 23, 24, 30, 28, 14, 32, 30, 9]",9.509410492,2.43372093,27,Rock
0.561472715,6.734375,3.27571279,15,10,3.974358974,3.794871795,"[3, 5, 9, 3, 10, 4, 7, 3, 1, 5, 1, 5, 11, 5, 12, 10, 7, 10, 7, 5, 5, 7, 2, 8, 2, 5, 12, 12, 9]",3.342537804,1.948717949,2,Rock
0.109375,2,0.204081633,10,1,0.5,3,"[4, 1, 1, 2, 4]",1,1.125,4,Rock
0.672216441,5.99,3.048319948,27,5,3.677419355,2.774193548,"[4, 19, 4, 27, 23, 2, 4, 21, 2, 4, 5, 2, 4, 4, 2, 4, 14, 5, 1, 7, 2, 2, 23, 3, 7]",1.594172737,1.806451613,5,Rock
0,2.75,0.555555556,5,4,0,1.5,"[4, 4, 1]",0.25,1,4,Rock
0,1.9,0.222222222,3,2,0,2,"[1, 2]",0,1,2,Rock
0.41322314,6,2.643898376,7,4,1.545454545,2.909090909,"[3, 7, 2, 3, 2, 2, 5, 2, 5]",1.355371901,1.636363636,4,Rock
0.625445898,16.7,20.15414673,17,6,2.586206897,3.172413793,"[4, 1, 5, 9, 7, 7, 5, 3, 7, 3, 5, 7, 5, 3, 10, 12, 2, 1, 2, 8, 3, 7, 5, 7, 2, 17, 10, 5, 5, 2]",1.384066587,1.827586207,2,Rock
0.4536862,11,10.06075404,14,1,2.347826087,3.217391304,"[4, 12, 12, 4, 7, 2, 5, 1, 5, 4, 4, 2, 5, 3, 3, 3, 2, 3, 2, 5, 12, 8]",1.648393195,1.739130435,5,Rock
0.204081633,4.890909091,1.748230665,12,5,0.571428571,2.285714286,"[2, 2, 3, 5, 2, 4, 12, 9]",0.489795918,1.285714286,5,Rock
1.399183673,14.83006397,18.44741507,20,1,2.171428571,2.742857143,"[1, 2, 2, 5, 4, 3, 5, 2, 5, 5, 3, 5, 2, 8, 1, 2, 7, 4, 8, 8, 4, 3, 11, 2, 10, 2, 9, 5, 7, 3, 4]",1.048163265,2.028571429,2,Rock
1.146814404,3,0.68617134,12,2,2.631578947,2.947368421,"[4, 4, 2, 10, 3, 5, 2, 2, 7, 12, 5, 5, 2, 2]",1.944598338,1.894736842,2,Rock
0.3361678,11.9,12.12731341,28,24,6.880952381,3.333333333,"[24, 15, 10, 5, 26, 3, 17, 24, 24, 9, 3, 20, 1, 2, 2, 15, 24, 4, 17, 7, 14, 9, 14, 24, 24, 24, 5, 10, 15, 5, 7, 9, 9, 15, 5, 17, 16, 5, 17, 26, 19, 10, 7]",1.793650794,1.738095238,4,Rock
0.824196597,6,3.446847366,12,1,2.304347826,2.782608696,"[1, 1, 3, 2, 2, 3, 5, 7, 4, 4, 1, 1, 7, 1, 2, 10, 7, 7, 10, 3, 3, 5]",1.300567108,1.956521739,1,Rock
0.225921522,11,9.862140161,14,10,3.068965517,3.448275862,"[3, 12, 3, 4, 5, 8, 9, 10, 5, 8, 3, 3, 5, 9, 7, 5, 3, 3, 7, 4, 5, 8, 3, 3, 7, 5, 10, 7, 7, 7, 8, 9, 4, 5, 8]",2.5921522,1.655172414,10,Rock
