source	target	probability
-7|	-22|-7	0.07317073170731707
-7|	-16|-7	0.35714285714285715
-7|	-21|-7	0.1111111111111111
-7|	-4|-7	0.05405405405405406
-7|	-19|-7	0.1111111111111111
-7|	-32|-7	0.16666666666666666
-7|	-31|-7	0.07692307692307693
-7|	11|-7	0.29411764705882354
-7|	5|-7	0.030303030303030304
-7|	8|-7	0.0625
-7|	128|-7	0.07142857142857142
-7|	-34|-7	0.125
-7|	12|-7	0.10714285714285714
-7|	-29|-7	0.26666666666666666
-7|	14|-7	0.07142857142857142
-7|	-33|-7	0.26666666666666666
-7|	15|-7	0.08333333333333333
-7|	17|-7	0.25
-7|	19|-7	0.06666666666666667
-7|	22|-7	0.14285714285714285
-7|	-28|-7	0.5
-7|	21|-7	0.25
-7|	24|-7	0.14285714285714285
-7|	-20|-7	0.6
-7|	129|-7	0.13333333333333333
-7|	16|-7	0.2
-7|	-30|-7	0.25
-7|	-36|-7	0.6363636363636364
-7|	26|-7	0.3333333333333333
-7|	13|-7	0.16666666666666666
-7|	20|-7	0.5
-7|	18|-7	0.5
-7|	29|-7	0.5
-7|	27|-7	0.5
-7|	23|-7	0.5
-7|	28|-7	1.0
-7|	-35|-7	1.0
-7|	25|-7	0.4
-7|	32|-7	1.0
-7|	-38|-7	1.0
-5|	-40|	0.00029069767441860465
-5|	-4|-5	0.15702479338842976
-5|	-19|-5	0.01694915254237288
-5|	5|-5	0.075
-5|	7|-5	0.08620689655172414
-5|	-16|-5	0.02857142857142857
-5|	6|-5	0.11382113821138211
-5|	-2|-5	0.022727272727272728
-5|	-9|-5	0.03571428571428571
-5|	-12|-5	0.02608695652173913
-5|	0|-5	0.039603960396039604
-5|	-10|-5	0.072
-5|	-30|-5	0.5
-5|	-3|-5	0.018292682926829267
-5|	-8|-5	0.09243697478991597
-5|	-17|-5	0.02197802197802198
-5|	-1|-5	0.008064516129032258
-5|	-20|-5	0.08333333333333333
-5|	-32|-5	0.05555555555555555
-5|	-11|-5	0.08695652173913043
-5|	-13|-5	0.027777777777777776
-5|	12|-5	0.030303030303030304
-5|	-25|-5	0.21739130434782608
-5|	-24|-5	0.02702702702702703
-5|	-14|-5	0.07692307692307693
-5|	-26|-5	0.03571428571428571
-5|	-29|-5	0.2222222222222222
-5|	-15|-5	0.07692307692307693
-5|	-21|-5	0.1111111111111111
-5|	-6|-5	0.044444444444444446
-5|	4|-5	0.03
-5|	2|-5	0.006756756756756757
-5|	-7|-5	0.009615384615384616
-5|	-18|-5	0.037037037037037035
-5|	-22|-5	0.04878048780487805
-5|	-23|-5	0.06976744186046512
-5|	-27|-5	0.17857142857142858
-5|	-34|-5	0.1111111111111111
-5|	14|-5	0.037037037037037035
-5|	10|-5	0.0625
-5|	1|-5	0.16666666666666666
-5|	9|-5	0.034482758620689655
-5|	129|-5	0.1
-5|	-33|-5	0.16666666666666666
-5|	3|-5	0.03225806451612903
-5|	15|-5	0.08333333333333333
-5|	16|-5	0.04
-5|	-31|-5	0.047619047619047616
-5|	19|-5	0.23809523809523808
-5|	128|-5	0.939922480620155
-5|	11|-5	0.21428571428571427
-5|	8|-5	0.2
-5|	13|-5	0.1
-5|	17|-5	0.14285714285714285
-5|	-28|-5	0.38461538461538464
-5|	-36|-5	0.125
-5|	20|-5	1.0
-5|	26|-5	0.14285714285714285
-5|	22|-5	0.3333333333333333
-5|	24|-5	0.4
-5|	31|-5	0.25
-5|	21|-5	0.3333333333333333
-5|	18|-5	0.14285714285714285
-5|	28|-5	1.0
-5|	27|-5	0.5
-5|	23|-5	0.25
-5|	-38|-5	0.25
-5|	-41|-5	0.4
-5|	-39|-5	0.5
-5|	-43|-5	1.0
-10|	-47|	0.00031017369727047146
-10|	40|	0.00031017369727047146
-10|	-5|-10	0.14482758620689656
-10|	-9|-10	0.10869565217391304
-10|	-12|-10	0.0784313725490196
-10|	0|-10	0.0547945205479452
-10|	-4|-10	0.046511627906976744
-10|	-3|-10	0.1038961038961039
-10|	-8|-10	0.2
-10|	-7|-10	0.16049382716049382
-10|	2|-10	0.023809523809523808
-10|	-14|-10	0.08928571428571429
-10|	-1|-10	0.12612612612612611
-10|	-20|-10	0.08333333333333333
-10|	-23|-10	0.03333333333333333
-10|	-27|-10	0.5192307692307693
-10|	-25|-10	0.834375
-10|	-6|-10	0.021739130434782608
-10|	-13|-10	0.02127659574468085
-10|	-24|-10	0.05128205128205128
-10|	-22|-10	0.025
-10|	-17|-10	0.09090909090909091
-10|	-11|-10	0.021739130434782608
-10|	6|-10	0.11428571428571428
-10|	-2|-10	0.25
-10|	1|-10	0.07317073170731707
-10|	7|-10	0.06428571428571428
-10|	-16|-10	0.06976744186046512
-10|	-21|-10	0.09090909090909091
-10|	-15|-10	0.01639344262295082
-10|	4|-10	0.04477611940298507
-10|	128|-10	0.7806122448979592
-10|	-29|-10	0.18
-10|	5|-10	0.10810810810810811
-10|	-18|-10	0.2876712328767123
-10|	11|-10	0.07692307692307693
-10|	14|-10	0.2
-10|	15|-10	0.1111111111111111
-10|	10|-10	0.08333333333333333
-10|	-33|-10	0.03225806451612903
-10|	12|-10	0.12
-10|	9|-10	0.058823529411764705
-10|	3|-10	0.2
-10|	13|-10	0.05555555555555555
-10|	-32|-10	0.09090909090909091
-10|	-31|-10	0.10526315789473684
-10|	-19|-10	0.08196721311475409
-10|	-36|-10	0.14285714285714285
-10|	19|-10	0.1111111111111111
-10|	8|-10	0.07142857142857142
-10|	17|-10	0.14285714285714285
-10|	21|-10	0.18181818181818182
-10|	24|-10	0.16666666666666666
-10|	16|-10	0.05
-10|	18|-10	0.2
-10|	-28|-10	0.1111111111111111
-10|	-26|-10	0.0625
-10|	20|-10	0.2
-10|	22|-10	0.5
-10|	-34|-10	0.09090909090909091
-10|	-30|-10	0.14285714285714285
-10|	129|-10	0.1
-10|	-38|-10	0.2
-10|	26|-10	0.25
-10|	23|-10	1.0
-10|	28|-10	0.5
-10|	31|-10	1.0
-10|	-41|-10	0.3333333333333333
-10|	-37|-10	0.3333333333333333
-10|	-35|-10	1.0
-10|	25|-10	0.5
-10|	36|-10	1.0
-10|	30|-10	1.0
19|	-62|	0.001182033096926714
19|	-5|19	0.05555555555555555
19|	15|19	0.07407407407407407
19|	-4|19	0.2
19|	-6|19	0.14285714285714285
19|	-25|19	0.5
19|	-22|19	0.2222222222222222
19|	6|19	0.1111111111111111
19|	-18|19	0.23076923076923078
19|	-9|19	0.08333333333333333
19|	-21|19	0.5
19|	-26|19	0.5
19|	9|19	0.16666666666666666
19|	-27|19	0.5
19|	-23|19	0.3333333333333333
19|	-29|19	0.25
19|	-7|19	0.08333333333333333
19|	-13|19	0.3333333333333333
19|	7|19	0.0375
19|	-2|19	0.1111111111111111
19|	10|19	0.3
19|	-3|19	0.11764705882352941
